Fuel_Code,Trading_date,Total_TP
Wind,2015-01-01,0.0
Hydro,2015-01-01,0.0
Wind,2015-01-01,5464208.8339
Hydro,2015-01-01,52471864.2872
Wind,2015-01-02,4639082.5727
Wind,2015-01-02,0.0
Hydro,2015-01-02,53653661.615
Hydro,2015-01-02,0.0
Wind,2015-01-03,2403981.893
Hydro,2015-01-03,0.0
Hydro,2015-01-03,56073717.9062
Wind,2015-01-03,0.0
Wind,2015-01-04,4857060.1124
Hydro,2015-01-04,0.0
Hydro,2015-01-04,54220744.5388
Wind,2015-01-04,0.0
Wind,2015-01-05,0.0
Wind,2015-01-05,7306059.6748
Hydro,2015-01-05,58245313.8238
Hydro,2015-01-05,0.0
Hydro,2015-01-06,62361135.005
Wind,2015-01-06,0.0
Wind,2015-01-06,5068431.567
Hydro,2015-01-06,0.0
Wind,2015-01-07,3614498.087
Wind,2015-01-07,0.0
Hydro,2015-01-07,0.0
Hydro,2015-01-07,64578609.74
Hydro,2015-01-08,0.0
Hydro,2015-01-08,63100366.789
Wind,2015-01-08,0.0
Wind,2015-01-08,4799926.2556
Hydro,2015-01-09,0.0
Hydro,2015-01-09,61121144.949
Wind,2015-01-09,0.0
Wind,2015-01-09,3625686.3685
Wind,2015-01-10,7801464.59
Hydro,2015-01-10,51537127.5894
Wind,2015-01-10,0.0
Hydro,2015-01-10,0.0
Hydro,2015-01-11,0.0
Wind,2015-01-11,0.0
Wind,2015-01-11,9458526.9564
Hydro,2015-01-11,49381202.4002
Wind,2015-01-12,6053926.5371
Hydro,2015-01-12,0.0
Hydro,2015-01-12,61249517.57
Wind,2015-01-12,0.0
Hydro,2015-01-13,65593370.33
Hydro,2015-01-13,0.0
Wind,2015-01-13,1350935.8765
Wind,2015-01-13,0.0
Wind,2015-01-14,0.0
Hydro,2015-01-14,0.0
Hydro,2015-01-14,65563956.04
Wind,2015-01-14,371410.5222
Hydro,2015-01-15,0.0
Wind,2015-01-15,1374907.358
Wind,2015-01-15,0.0
Hydro,2015-01-15,64449250.51
Hydro,2015-01-16,0.0
Wind,2015-01-16,0.0
Hydro,2015-01-16,59377624.127
Wind,2015-01-16,4987832.2531
Wind,2015-01-17,6944245.395
Hydro,2015-01-17,0.0
Hydro,2015-01-17,52666543.832
Wind,2015-01-17,0.0
Hydro,2015-01-18,50844256.11
Hydro,2015-01-18,0.0
Wind,2015-01-18,0.0
Wind,2015-01-18,8956459.53
Hydro,2015-01-19,59003401.041
Wind,2015-01-19,8899154.5448
Wind,2015-01-19,0.0
Hydro,2015-01-19,0.0
Wind,2015-01-20,3068049.8046
Hydro,2015-01-20,0.0
Hydro,2015-01-20,66409335.9
Wind,2015-01-20,0.0
Hydro,2015-01-21,65386923.1712
Wind,2015-01-21,2611789.2557
Hydro,2015-01-21,0.0
Wind,2015-01-21,0.0
Wind,2015-01-22,0.0
Hydro,2015-01-22,0.0
Hydro,2015-01-22,65423158.0942
Wind,2015-01-22,3247409.2626
Hydro,2015-01-23,65920864.5692
Wind,2015-01-23,0.0
Hydro,2015-01-23,0.0
Wind,2015-01-23,1057760.1616
Wind,2015-01-24,0.0
Hydro,2015-01-24,0.0
Wind,2015-01-24,2503888.8643
Hydro,2015-01-24,57646624.919
Wind,2015-01-25,0.0
Hydro,2015-01-25,56156208.493
Hydro,2015-01-25,0.0
Wind,2015-01-25,2878922.9053
Wind,2015-01-26,3639673.9062
Wind,2015-01-26,0.0
Hydro,2015-01-26,0.0
Hydro,2015-01-26,60079716.533
Wind,2015-01-27,3532328.7694
Wind,2015-01-27,0.0
Hydro,2015-01-27,0.0
Hydro,2015-01-27,65498155.855
Wind,2015-01-28,0.0
Wind,2015-01-28,3341032.7682
Hydro,2015-01-28,0.0
Hydro,2015-01-28,65345895.019
Wind,2015-01-29,3238785.0162
Wind,2015-01-29,0.0
Hydro,2015-01-29,0.0
Hydro,2015-01-29,66724972.9265
Wind,2015-01-30,0.0
Wind,2015-01-30,3864147.082
Hydro,2015-01-30,0.0
Hydro,2015-01-30,64399784.855
Wind,2015-01-31,0.0
Wind,2015-01-31,3298796.3854
Hydro,2015-01-31,0.0
Hydro,2015-01-31,55954337.84
Wind,2015-02-01,0.0
Wind,2015-02-01,2716043.0457
Hydro,2015-02-01,53306800.72
Hydro,2015-02-01,0.0
