Fuel_Code,Trading_date,Total_TP
Wind,2015-01-01,5464208.8339
Wind,2015-01-02,4639082.5727
Wind,2015-01-03,2403981.893
Wind,2015-01-04,4857060.1124
Wind,2015-01-05,7306059.6748
Wind,2015-01-06,5068431.567
Wind,2015-01-07,3614498.087
Wind,2015-01-08,4799926.2556
Wind,2015-01-09,3625686.3685
Wind,2015-01-10,7801464.59
Wind,2015-01-11,9458526.9564
Wind,2015-01-12,6053926.5371
Wind,2015-01-13,1350935.8765
Wind,2015-01-14,371410.5222
Wind,2015-01-15,1374907.358
Wind,2015-01-16,4987832.2531
Wind,2015-01-17,6944245.395
Wind,2015-01-18,8956459.53
Wind,2015-01-19,8899154.5448
Wind,2015-01-20,3068049.8046
Wind,2015-01-21,2611789.2557
Wind,2015-01-22,3247409.2626
Wind,2015-01-23,1057760.1616
Wind,2015-01-24,2503888.8643
Wind,2015-01-25,2878922.9053
Wind,2015-01-26,3639673.9062
Wind,2015-01-27,3532328.7694
Wind,2015-01-28,3341032.7682
Wind,2015-01-29,3238785.0162
Wind,2015-01-30,3864147.082
Wind,2015-01-31,3298796.3854
Wind,2015-02-01,2716043.0457
Wind,2015-02-02,7264608.0532
Wind,2015-02-03,8580714.932
Wind,2015-02-04,8859777.393
Wind,2015-02-05,9413446.56
Wind,2015-02-06,5082148.0418
Wind,2015-02-07,4902424.3438
Wind,2015-02-08,7850593.2678
Wind,2015-02-09,9196247.52
Wind,2015-02-10,6064190.691
Wind,2015-02-11,3035882.5132
Wind,2015-02-12,2830794.3981
Wind,2015-02-13,4045005.5327
Wind,2015-02-14,6081112.319
Wind,2015-02-15,3346279.7904000003
Wind,2015-02-16,2346233.9278
Wind,2015-02-17,1576509.6579
Wind,2015-02-18,4266892.3658
Wind,2015-02-19,7069615.668
Wind,2015-02-20,856863.5897
Wind,2015-02-21,5389907.443
Wind,2015-02-22,2190433.792
Wind,2015-02-23,2799617.5512
Wind,2015-02-24,1549688.9685999998
Wind,2015-02-25,4609966.3252
Wind,2015-02-26,4875604.7972
Wind,2015-02-27,2245519.6037
Wind,2015-02-28,5336729.609
Wind,2015-03-01,5959171.3208
Wind,2015-03-02,3843071.7444
Wind,2015-03-03,2726866.6329
Wind,2015-03-04,3222857.7312000003
Wind,2015-03-05,3107272.2857
Wind,2015-03-06,5997559.4501
Wind,2015-03-07,8015490.6716
Wind,2015-03-08,5774811.9322
Wind,2015-03-09,1847817.1925
Wind,2015-03-10,2433253.1875
Wind,2015-03-11,3028268.7401
Wind,2015-03-12,2290865.762
Wind,2015-03-13,2377205.1783
Wind,2015-03-14,2783233.3308
Wind,2015-03-15,5238773.325999999
Wind,2015-03-16,4358216.717
Wind,2015-03-17,6174720.5028
Wind,2015-03-18,3510462.7817
Wind,2015-03-19,4048790.7952
Wind,2015-03-20,2148697.3746
Wind,2015-03-21,3481962.7674
Wind,2015-03-22,1617180.2452
Wind,2015-03-23,2245821.868
Wind,2015-03-24,3190432.9856
Wind,2015-03-25,4083315.659
Wind,2015-03-26,2598976.3884
Wind,2015-03-27,2386830.1304
Wind,2015-03-28,1658698.1156
Wind,2015-03-29,6262473.8188000005
Wind,2015-03-30,4986742.664
Wind,2015-03-31,3009613.2777
Wind,2015-04-01,1954109.2285
Wind,2015-04-02,7744535.2887
Wind,2015-04-03,6236637.0877
Wind,2015-04-04,8818002.876
Wind,2015-04-05,2216177.3487
Wind,2015-04-06,2948517.7592
Wind,2015-04-07,7140370.642
Wind,2015-04-08,5032869.8844
Wind,2015-04-09,5246493.4543
Wind,2015-04-10,4292770.6979
Wind,2015-04-11,3954491.8942
Wind,2015-04-12,9689254.9532
Wind,2015-04-13,6874306.3685
Wind,2015-04-14,2675757.4092
Wind,2015-04-15,3947756.0093
Wind,2015-04-16,2776544.1758
Wind,2015-04-17,8401789.8114
Wind,2015-04-18,4380543.9378
Wind,2015-04-19,3497720.0233
Wind,2015-04-20,4769896.95
Wind,2015-04-21,1261171.0899
Wind,2015-04-22,3167074.4533
Wind,2015-04-23,4176301.0574
Wind,2015-04-24,3406787.7229
Wind,2015-04-25,4829528.6831
Wind,2015-04-26,7325580.5714
Wind,2015-04-27,6550894.9895
Wind,2015-04-28,6614334.5352
Wind,2015-04-29,8556003.827
Wind,2015-04-30,4332798.9578
Wind,2015-05-01,4466937.8926
Wind,2015-05-02,5411842.377
Wind,2015-05-03,3282464.6651
Wind,2015-05-04,6751612.6194
Wind,2015-05-05,8745447.416000001
Wind,2015-05-06,8510602.175
Wind,2015-05-07,8699699.02
Wind,2015-05-08,8145201.149399999
Wind,2015-05-09,8374712.105
Wind,2015-05-10,7838654.24
Wind,2015-05-11,6464977.905
Wind,2015-05-12,7255144.097
Wind,2015-05-13,8866799.1
Wind,2015-05-14,6103302.9328
Wind,2015-05-15,3269990.5238
Wind,2015-05-16,3209105.5218
Wind,2015-05-17,1800462.9561
Wind,2015-05-18,6651788.02
Wind,2015-05-19,2412087.0562
Wind,2015-05-20,3484411.7885
Wind,2015-05-21,9590542.05
Wind,2015-05-22,3650287.1223
Wind,2015-05-23,4928052.0978
Wind,2015-05-24,5950242.476
Wind,2015-05-25,3632075.1226
Wind,2015-05-26,2594423.8269
Wind,2015-05-27,2127745.5496
Wind,2015-05-28,614126.9794000001
Wind,2015-05-29,3556538.5372
Wind,2015-05-30,5657296.0923
Wind,2015-05-31,5050911.7729
Wind,2015-06-01,2939125.7829000005
Wind,2015-06-02,3861476.6245
Wind,2015-06-03,4487187.905099999
Wind,2015-06-04,4541438.8967
Wind,2015-06-05,1880446.7734
Wind,2015-06-06,2700605.1117
Wind,2015-06-07,5806768.73
Wind,2015-06-08,7806133.2298
Wind,2015-06-09,9509070.6614
Wind,2015-06-10,8149226.83
Wind,2015-06-11,6854417.22
Wind,2015-06-12,7832984.66
Wind,2015-06-13,7402047.97
Wind,2015-06-14,7439521.326
Wind,2015-06-15,5029121.9213
Wind,2015-06-16,1837649.0528
Wind,2015-06-17,4817934.0117
Wind,2015-06-18,8964089.965
Wind,2015-06-19,8694690.592799999
Wind,2015-06-20,6447150.6156
Wind,2015-06-21,7429195.1122
Wind,2015-06-22,5242404.5448
Wind,2015-06-23,5551613.6106
Wind,2015-06-24,3115299.2766
Wind,2015-06-25,3157800.0113
Wind,2015-06-26,9493402.52
Wind,2015-06-27,6678212.7497000005
Wind,2015-06-28,9443331.9
Wind,2015-06-29,9650888.4
Wind,2015-06-30,7220103.902000001
Wind,2015-07-01,5050036.847
Wind,2015-07-02,6806964.3682
Wind,2015-07-03,8156588.278
Wind,2015-07-04,5145037.2523
Wind,2015-07-05,7725180.247
Wind,2015-07-06,7892999.086
Wind,2015-07-07,3903915.7859
