DATE,Avg_T2M
2015-01-01,15.8423
2015-01-02,16.0723
2015-01-03,16.2531
2015-01-04,17.9308
2015-01-05,17.56
2015-01-06,17.2546
2015-01-07,16.9577
2015-01-08,15.5746
2015-01-09,17.1562
2015-01-10,17.9962
2015-01-11,17.5262
2015-01-12,18.1085
2015-01-13,17.8131
2015-01-14,17.6454
2015-01-15,19.39
2015-01-16,19.33
2015-01-17,19.5608
2015-01-18,18.5738
2015-01-19,17.9292
2015-01-20,17.0292
2015-01-21,15.8677
2015-01-22,15.9746
2015-01-23,18.0
2015-01-24,19.0254
2015-01-25,19.4246
2015-01-26,19.4423
2015-01-27,18.3223
2015-01-28,19.68
2015-01-29,19.7892
2015-01-30,19.0431
2015-01-31,19.8292
2015-02-01,19.4677
2015-02-02,19.6146
2015-02-03,18.1038
2015-02-04,16.6908
2015-02-05,15.2815
2015-02-06,13.4023
2015-02-07,14.4777
2015-02-08,17.6838
2015-02-09,16.9246
2015-02-10,14.5677
2015-02-11,15.6754
2015-02-12,16.9454
2015-02-13,16.3762
2015-02-14,14.1754
2015-02-15,13.5969
2015-02-16,14.7062
2015-02-17,16.3185
2015-02-18,17.3469
2015-02-19,17.6654
2015-02-20,18.0654
2015-02-21,17.6838
2015-02-22,17.9108
2015-02-23,17.8692
2015-02-24,17.6892
2015-02-25,16.94
2015-02-26,15.0569
2015-02-27,16.34
2015-02-28,17.1731
2015-03-01,18.7038
2015-03-02,18.5069
2015-03-03,18.0754
2015-03-04,18.0854
2015-03-05,19.0362
2015-03-06,17.8638
2015-03-07,16.7785
2015-03-08,16.06
2015-03-09,16.3577
2015-03-10,17.2762
2015-03-11,16.6146
2015-03-12,16.9685
2015-03-13,17.1108
2015-03-14,16.9654
2015-03-15,17.4915
2015-03-16,15.6915
2015-03-17,12.8762
2015-03-18,12.1054
2015-03-19,11.7954
2015-03-20,12.7315
2015-03-21,14.5569
2015-03-22,14.7992
2015-03-23,15.3038
2015-03-24,15.9069
2015-03-25,16.5631
2015-03-26,16.7785
2015-03-27,15.9662
2015-03-28,16.9085
2015-03-29,16.5831
2015-03-30,15.7023
2015-03-31,15.1838
2015-04-01,15.4846
2015-04-02,16.0831
2015-04-03,16.3308
2015-04-04,16.2046
2015-04-05,15.0262
2015-04-06,16.6131
2015-04-07,17.5238
2015-04-08,17.0085
2015-04-09,14.9523
2015-04-10,15.6246
2015-04-11,13.0238
2015-04-12,13.7762
2015-04-13,11.2462
2015-04-14,8.2238
2015-04-15,9.8015
2015-04-16,10.4946
2015-04-17,12.4431
2015-04-18,12.3431
2015-04-19,13.2808
2015-04-20,14.1538
2015-04-21,13.9992
2015-04-22,13.5254
2015-04-23,13.2938
2015-04-24,13.4546
2015-04-25,13.5869
2015-04-26,14.3146
2015-04-27,15.0177
2015-04-28,12.1531
2015-04-29,11.8654
2015-04-30,10.2623
2015-05-01,11.7838
2015-05-02,12.6715
2015-05-03,12.2046
2015-05-04,11.7992
2015-05-05,13.73
2015-05-06,15.2662
2015-05-07,15.7562
2015-05-08,14.0285
2015-05-09,12.95
2015-05-10,13.8754
2015-05-11,13.9715
2015-05-12,12.6708
2015-05-13,12.5146
2015-05-14,12.8354
2015-05-15,11.7508
2015-05-16,10.4885
2015-05-17,10.2446
2015-05-18,11.3646
2015-05-19,9.9192
2015-05-20,9.8238
2015-05-21,12.35
2015-05-22,9.4508
2015-05-23,9.3646
2015-05-24,9.4562
2015-05-25,6.8238
2015-05-26,7.4138
2015-05-27,7.5954
2015-05-28,7.9038
2015-05-29,7.9823
2015-05-30,9.2677
2015-05-31,10.4615
2015-06-01,10.8585
2015-06-02,12.7423
2015-06-03,11.1462
2015-06-04,9.2146
2015-06-05,7.2154
2015-06-06,8.4269
2015-06-07,9.65
2015-06-08,10.9146
2015-06-09,12.5492
2015-06-10,12.1085
2015-06-11,9.1846
2015-06-12,9.6046
2015-06-13,9.4677
2015-06-14,10.9231
2015-06-15,7.97
2015-06-16,7.0715
2015-06-17,7.6031
2015-06-18,9.7354
2015-06-19,11.5631
2015-06-20,10.9554
2015-06-21,8.9608
2015-06-22,5.6015
2015-06-23,5.4438
2015-06-24,6.3946
2015-06-25,6.3469
2015-06-26,9.01
2015-06-27,8.4262
2015-06-28,9.2615
2015-06-29,10.1877
2015-06-30,10.2115
2015-07-01,9.9792
2015-07-02,9.5123
2015-07-03,9.4192
2015-07-04,9.3046
2015-07-05,9.2115
2015-07-06,9.2054
2015-07-07,7.1215
2015-07-08,5.1962
2015-07-09,4.4477
2015-07-10,5.0015
2015-07-11,5.1562
2015-07-12,5.77
2015-07-13,5.6608
2015-07-14,6.3692
2015-07-15,9.3177
2015-07-16,9.6631
2015-07-17,8.7731
2015-07-18,8.1231
2015-07-19,6.0685
2015-07-20,6.8238
2015-07-21,7.9523
2015-07-22,8.2969
2015-07-23,7.6846
2015-07-24,8.9031
2015-07-25,8.4208
2015-07-26,9.3685
2015-07-27,11.2846
2015-07-28,10.1838
2015-07-29,7.8831
2015-07-30,5.8915
2015-07-31,7.9608
2015-08-01,9.5654
2015-08-02,10.2692
2015-08-03,10.9262
2015-08-04,11.0577
2015-08-05,8.4808
2015-08-06,9.2123
2015-08-07,8.2254
2015-08-08,6.0385
2015-08-09,5.0785
2015-08-10,4.7985
2015-08-11,5.5485
2015-08-12,5.6392
2015-08-13,6.8415
2015-08-14,8.5831
2015-08-15,9.3708
2015-08-16,8.5454
2015-08-17,8.3177
2015-08-18,9.4269
2015-08-19,9.37
2015-08-20,7.7015
2015-08-21,7.2677
2015-08-22,7.7685
2015-08-23,9.2631
2015-08-24,10.2015
2015-08-25,9.8585
2015-08-26,8.27
2015-08-27,7.3869
2015-08-28,9.2085
2015-08-29,9.8846
2015-08-30,11.0938
2015-08-31,8.5862
2015-09-01,8.9108
2015-09-02,10.4885
2015-09-03,8.7615
2015-09-04,8.8408
2015-09-05,8.7269
2015-09-06,7.6715
2015-09-07,6.2669
2015-09-08,7.8254
2015-09-09,9.7662
2015-09-10,9.8254
2015-09-11,7.23
2015-09-12,6.7492
2015-09-13,9.4462
2015-09-14,7.8523
2015-09-15,10.8631
2015-09-16,11.4723
2015-09-17,12.13
2015-09-18,11.4215
