DATE,Avg_WD50M
2015-01-01,221.6817
2015-01-02,314.3309
2015-01-03,162.983
2015-01-04,319.7752
2015-01-05,310.9879
2015-01-06,305.1644
2015-01-07,223.9061
2015-01-08,129.1504
2015-01-09,340.2681
2015-01-10,320.517
2015-01-11,311.962
2015-01-12,259.471
2015-01-13,307.3987
2015-01-14,327.2747
2015-01-15,31.2386
2015-01-16,323.2452
2015-01-17,321.7098
2015-01-18,310.183
2015-01-19,294.0545
2015-01-20,272.5502
2015-01-21,174.5411
2015-01-22,139.5053
2015-01-23,269.2648
2015-01-24,331.8703
2015-01-25,78.5431
2015-01-26,26.7612
2015-01-27,95.6792
2015-01-28,102.6374
2015-01-29,116.0537
2015-01-30,121.282
2015-01-31,85.071
2015-02-01,357.0752
2015-02-02,311.5383
2015-02-03,285.0502
2015-02-04,301.0313
2015-02-05,282.0511
2015-02-06,227.6444
2015-02-07,243.8622
2015-02-08,316.9472
2015-02-09,284.2327
2015-02-10,148.5611
2015-02-11,109.1749
2015-02-12,18.1282
2015-02-13,226.4632
2015-02-14,160.7347
2015-02-15,147.1777
2015-02-16,143.0124
2015-02-17,68.1544
2015-02-18,315.488
2015-02-19,313.4992
2015-02-20,61.0181
2015-02-21,326.4811
2015-02-22,349.3326
2015-02-23,98.7438
2015-02-24,14.4003
2015-02-25,278.2107
2015-02-26,141.3302
2015-02-27,302.6044
2015-02-28,313.1948
2015-03-01,319.7263
2015-03-02,322.6952
2015-03-03,317.2049
2015-03-04,333.3029
2015-03-05,344.5285
2015-03-06,334.4248
2015-03-07,335.7541
2015-03-08,265.1437
2015-03-09,317.799
2015-03-10,328.0016
2015-03-11,127.8818
2015-03-12,70.0767
2015-03-13,324.613
2015-03-14,146.3693
2015-03-15,67.1834
2015-03-16,154.1799
2015-03-17,197.8809
2015-03-18,194.9936
2015-03-19,168.122
2015-03-20,131.4376
2015-03-21,337.9668
2015-03-22,344.8787
2015-03-23,92.3142
2015-03-24,332.1739
2015-03-25,337.0461
2015-03-26,326.9416
2015-03-27,118.6015
2015-03-28,348.0084
2015-03-29,307.9333
2015-03-30,262.7306
2015-03-31,258.4783
2015-04-01,26.3089
2015-04-02,318.9543
