DATE,Avg_WS50M
1/01/2015,6.7092
2/01/2015,6.1246
3/01/2015,4.7685
4/01/2015,6.2146
5/01/2015,7.3046
6/01/2015,6.3923
7/01/2015,5.9862
8/01/2015,6.1069
9/01/2015,4.9031
10/01/2015,6.7038
11/01/2015,9.0638
12/01/2015,6.6215
13/01/2015,3.7131
14/01/2015,3.2085
15/01/2015,3.0092
16/01/2015,7.8908
17/01/2015,8.9185
18/01/2015,9.9962
19/01/2015,9.0054
20/01/2015,5.7315
21/01/2015,4.7292
22/01/2015,5.1715
23/01/2015,2.6323
24/01/2015,3.6577
25/01/2015,4.0754
26/01/2015,4.9731
27/01/2015,5.58
28/01/2015,5.6308
29/01/2015,4.9585
30/01/2015,5.3023
31/01/2015,4.5177
1/02/2015,6.0554
2/02/2015,9.5392
3/02/2015,10.5238
4/02/2015,12.1138
5/02/2015,12.0531
6/02/2015,9.6577
7/02/2015,7.1738
8/02/2015,8.2692
9/02/2015,10.0877
10/02/2015,7.3577
11/02/2015,4.9815
12/02/2015,5.0608
13/02/2015,6.5992
14/02/2015,9.0308
15/02/2015,6.7838
16/02/2015,4.7315
17/02/2015,3.1208
18/02/2015,5.57
19/02/2015,6.5438
20/02/2015,2.7754
21/02/2015,6.8392
22/02/2015,4.27
23/02/2015,4.3169
24/02/2015,4.2115
25/02/2015,6.2423
26/02/2015,5.4231
27/02/2015,4.3269
28/02/2015,6.1669
1/03/2015,5.7808
2/03/2015,7.2623
3/03/2015,5.0546
4/03/2015,4.7692
5/03/2015,5.5185
6/03/2015,10.4431
7/03/2015,10.8569
8/03/2015,7.8238
9/03/2015,4.5492
10/03/2015,4.5662
11/03/2015,4.4238
12/03/2015,3.71
13/03/2015,5.5515
14/03/2015,4.5838
15/03/2015,5.7723
16/03/2015,7.58
17/03/2015,10.6115
18/03/2015,8.0492
19/03/2015,7.5277
20/03/2015,4.5031
21/03/2015,6.2777
22/03/2015,4.6
23/03/2015,3.5277
24/03/2015,5.8523
25/03/2015,5.7531
26/03/2015,4.7292
27/03/2015,3.7292
28/03/2015,5.3454
29/03/2015,8.57
30/03/2015,6.3946
31/03/2015,4.9062
1/04/2015,3.7008
2/04/2015,8.6708
3/04/2015,6.5223
4/04/2015,9.6092
5/04/2015,4.1462
6/04/2015,6.9646
7/04/2015,9.5062
8/04/2015,7.9492
9/04/2015,6.0208
10/04/2015,7.3223
11/04/2015,6.2385
12/04/2015,11.9815
13/04/2015,10.6985
14/04/2015,8.1854
15/04/2015,8.5715
16/04/2015,5.8677
17/04/2015,8.1908
18/04/2015,5.3531
19/04/2015,5.8092
20/04/2015,6.3962
21/04/2015,4.0146
22/04/2015,4.6062
23/04/2015,5.5792
24/04/2015,4.8154
25/04/2015,7.14
26/04/2015,8.9415
27/04/2015,12.2585
28/04/2015,9.3338
29/04/2015,11.8038
30/04/2015,9.53
1/05/2015,6.6015
2/05/2015,6.4108
3/05/2015,4.6815
4/05/2015,6.1631
5/05/2015,7.7954
6/05/2015,11.2846
7/05/2015,11.6746
8/05/2015,8.6831
9/05/2015,9.3308
10/05/2015,8.3
11/05/2015,9.1731
12/05/2015,10.2938
13/05/2015,11.2785
14/05/2015,9.2215
15/05/2015,6.75
16/05/2015,10.1008
17/05/2015,5.8038
18/05/2015,8.4877
19/05/2015,5.4523
20/05/2015,5.0938
21/05/2015,10.8746
22/05/2015,6.8808
23/05/2015,6.94
24/05/2015,9.8946
25/05/2015,10.1969
26/05/2015,7.6969
27/05/2015,7.2238
28/05/2015,3.0846
29/05/2015,5.94
30/05/2015,7.5077
31/05/2015,6.6262
1/06/2015,6.6108
2/06/2015,8.3677
3/06/2015,8.8054
4/06/2015,8.2592
5/06/2015,4.9538
6/06/2015,5.2877
7/06/2015,5.7777
8/06/2015,8.1131
9/06/2015,11.6146
10/06/2015,12.5815
11/06/2015,10.8215
12/06/2015,13.8069
13/06/2015,11.5569
14/06/2015,10.7146
15/06/2015,7.4362
16/06/2015,6.4346
17/06/2015,6.3246
18/06/2015,10.5208
19/06/2015,12.3862
20/06/2015,8.8162
21/06/2015,8.9938
22/06/2015,9.9623
23/06/2015,7.8685
24/06/2015,6.6292
25/06/2015,5.5623
26/06/2015,9.7546
27/06/2015,8.0638
28/06/2015,10.14
29/06/2015,12.9838
30/06/2015,9.2192
1/07/2015,7.05
2/07/2015,7.5938
3/07/2015,10.3308
4/07/2015,5.4046
5/07/2015,9.0762
6/07/2015,10.4708
7/07/2015,6.1746
8/07/2015,8.8654
9/07/2015,9.6185
10/07/2015,8.2892
11/07/2015,4.9377
12/07/2015,3.3723
13/07/2015,4.0608
14/07/2015,7.1031
15/07/2015,8.8154
16/07/2015,5.9808
17/07/2015,6.37
18/07/2015,8.0885
19/07/2015,11.4592
20/07/2015,9.3246
21/07/2015,9.3108
22/07/2015,7.2077
23/07/2015,6.5277
24/07/2015,5.3762
25/07/2015,5.2862
26/07/2015,9.8977
27/07/2015,7.8946
28/07/2015,8.9292
29/07/2015,8.5454
30/07/2015,6.0331
31/07/2015,7.5731
1/08/2015,7.8062
2/08/2015,7.95
3/08/2015,10.3162
4/08/2015,11.8662
5/08/2015,5.5923
6/08/2015,8.6492
7/08/2015,11.03
8/08/2015,7.3208
9/08/2015,6.2646
10/08/2015,7.0115
11/08/2015,7.7492
12/08/2015,4.6569
13/08/2015,5.0792
14/08/2015,7.7646
15/08/2015,6.3508
16/08/2015,7.37
17/08/2015,5.2969
18/08/2015,9.4408
19/08/2015,10.2715
20/08/2015,6.7569
21/08/2015,3.0408
22/08/2015,4.6838
23/08/2015,7.6654
24/08/2015,9.4446
25/08/2015,9.0877
26/08/2015,6.5231
27/08/2015,3.5477
28/08/2015,5.3915
29/08/2015,7.6754
30/08/2015,6.3608
31/08/2015,7.1415
1/09/2015,9.94
2/09/2015,8.8546
3/09/2015,6.9169
4/09/2015,8.79
5/09/2015,8.42
6/09/2015,8.2369
7/09/2015,7.12
8/09/2015,5.3646
9/09/2015,8.2538
10/09/2015,9.5431
11/09/2015,7.7323
12/09/2015,7.4462
13/09/2015,6.8762
14/09/2015,5.1354
15/09/2015,8.3
16/09/2015,10.6592
17/09/2015,9.4669
18/09/2015,9.3438
19/09/2015,7.2938
20/09/2015,9.7115
21/09/2015,12.5992
22/09/2015,6.3992
23/09/2015,7.9054
24/09/2015,9.8277
25/09/2015,6.4685
26/09/2015,8.2015
27/09/2015,4.3838
28/09/2015,4.2523
29/09/2015,3.1423
30/09/2015,5.8131
1/10/2015,9.9492
2/10/2015,10.5738
3/10/2015,7.7038
4/10/2015,12.9954
5/10/2015,9.0346
6/10/2015,10.4046
7/10/2015,11.9754
8/10/2015,8.44
9/10/2015,6.41
10/10/2015,7.2854
11/10/2015,8.7662
12/10/2015,11.0008
13/10/2015,9.67
14/10/2015,5.5462
15/10/2015,6.4492
16/10/2015,11.1992
17/10/2015,9.3015
18/10/2015,12.9846
19/10/2015,10.2
20/10/2015,8.0123
21/10/2015,12.8315
22/10/2015,10.8108
23/10/2015,9.8608
24/10/2015,5.36
25/10/2015,6.1946
26/10/2015,7.5308
27/10/2015,6.8592
28/10/2015,7.1862
29/10/2015,7.6415
30/10/2015,6.8877
31/10/2015,6.3077
1/11/2015,4.4169
2/11/2015,10.6477
3/11/2015,10.6685
4/11/2015,10.3046
5/11/2015,7.4254
6/11/2015,4.5215
7/11/2015,6.4585
8/11/2015,7.4885
9/11/2015,4.2492
10/11/2015,7.0423
11/11/2015,8.4069
12/11/2015,8.7431
13/11/2015,6.7608
14/11/2015,8.1169
15/11/2015,7.4592
16/11/2015,5.4562
17/11/2015,8.2354
18/11/2015,7.12
19/11/2015,5.6492
20/11/2015,13.13
21/11/2015,8.5792
22/11/2015,10.2585
23/11/2015,10.2185
24/11/2015,10.3877
25/11/2015,8.6369
26/11/2015,10.5331
27/11/2015,12.4685
28/11/2015,9.5554
29/11/2015,5.0815
30/11/2015,4.2754
1/12/2015,5.3023
2/12/2015,6.4838
3/12/2015,9.5754
4/12/2015,7.8692
5/12/2015,10.4138
6/12/2015,6.2646
7/12/2015,9.3308
8/12/2015,6.0408
9/12/2015,5.5069
10/12/2015,10.6031
11/12/2015,6.1931
12/12/2015,9.6085
13/12/2015,11.7477
14/12/2015,8.3015
15/12/2015,8.1262
16/12/2015,6.3015
17/12/2015,6.4131
18/12/2015,6.5892
19/12/2015,5.9046
20/12/2015,5.7408
21/12/2015,10.6923
22/12/2015,9.8662
23/12/2015,6.4431
24/12/2015,6.7577
25/12/2015,4.5454
26/12/2015,3.6577
27/12/2015,4.2485
28/12/2015,3.9692
29/12/2015,5.5854
30/12/2015,3.8115
31/12/2015,6.1969
1/01/2016,5.0208
2/01/2016,4.7408
3/01/2016,7.5446
4/01/2016,8.9223
5/01/2016,4.0846
6/01/2016,4.3908
7/01/2016,8.2308
8/01/2016,14.7069
9/01/2016,9.7508
10/01/2016,10.3231
11/01/2016,4.7285
12/01/2016,8.7731
13/01/2016,8.2162
14/01/2016,6.2915
15/01/2016,11.1338
16/01/2016,6.1677
17/01/2016,3.4192
18/01/2016,5.8654
19/01/2016,7.9938
20/01/2016,8.1392
21/01/2016,7.8954
22/01/2016,8.5823
23/01/2016,7.0131
24/01/2016,6.4215
25/01/2016,6.1777
26/01/2016,5.1231
27/01/2016,6.6746
28/01/2016,8.1577
29/01/2016,3.6846
30/01/2016,4.47
31/01/2016,4.5638
1/02/2016,4.9823
2/02/2016,4.8469
3/02/2016,3.7038
4/02/2016,6.7131
5/02/2016,5.6069
6/02/2016,6.4569
7/02/2016,5.8115
8/02/2016,4.6946
9/02/2016,6.74
10/02/2016,5.9131
11/02/2016,5.7415
12/02/2016,5.4915
13/02/2016,2.9808
14/02/2016,4.2631
15/02/2016,6.1908
16/02/2016,6.9277
17/02/2016,8.8315
