Fuel_Code,POC_Code,DATE,Total_TP,Island,Latitude,Longitude,PS,T2M,WD50M,WS50M
Wind,BPE0331,1/03/2015,472971.48,NI,-40.28061426,175.6405101202204,99.5,18.88,302.2,5.89
Wind,BPE0331,2/03/2015,119485.18,NI,-40.28061426,175.6405101202204,99.39,18.43,304.9,6.52
Wind,BPE0331,3/03/2015,173416.5861,NI,-40.28061426,175.6405101202204,99.24,18.92,302.8,5.08
Wind,BPE0331,4/03/2015,127370.3811,NI,-40.28061426,175.6405101202204,98.9,18.34,315.5,4.19
Wind,BPE0331,5/03/2015,59379.3772,NI,-40.28061426,175.6405101202204,98.46,19.62,328.2,3.64
Wind,BPE0331,6/03/2015,334889.0991,NI,-40.28061426,175.6405101202204,97.69,17.97,332.8,10.65
Wind,BPE0331,7/03/2015,586853.54,NI,-40.28061426,175.6405101202204,97.47,16.91,326.5,11.64
Wind,BPE0331,8/03/2015,544984.01,NI,-40.28061426,175.6405101202204,98,16.17,287.6,9.5
Wind,BPE0331,9/03/2015,126038.9779,NI,-40.28061426,175.6405101202204,99.02,16.24,306.9,5.37
Wind,BPE0331,10/03/2015,92748.6445,NI,-40.28061426,175.6405101202204,99.28,17.36,325.9,4.06
Wind,BPE0331,11/03/2015,175663.2445,NI,-40.28061426,175.6405101202204,99.43,16.9,114.7,4.18
Wind,BPE0331,12/03/2015,90434.2362,NI,-40.28061426,175.6405101202204,99.28,16.32,61.1,4.32
Wind,BPE0331,13/03/2015,30374.9799,NI,-40.28061426,175.6405101202204,99.08,17.05,315.7,4.26
Wind,BPE0331,14/03/2015,133495.9992,NI,-40.28061426,175.6405101202204,99.24,18.29,125.6,4.23
Wind,BPE0331,15/03/2015,320892.67,NI,-40.28061426,175.6405101202204,98.52,18.14,66.9,6.61
Wind,BPE0331,16/03/2015,295041.746,NI,-40.28061426,175.6405101202204,97.34,16.36,127.1,8.1
Wind,BPE0331,17/03/2015,369157.97,NI,-40.28061426,175.6405101202204,97.44,12.44,191.5,10.65
Wind,BPE0331,18/03/2015,97103.2262,NI,-40.28061426,175.6405101202204,98.41,11.25,198.8,7.96
Wind,BPE0331,19/03/2015,178355.548,NI,-40.28061426,175.6405101202204,99.36,10.59,178.7,7.01
Wind,BPE0331,20/03/2015,62961.1089,NI,-40.28061426,175.6405101202204,100.06,11.1,134.3,4.72
Wind,BPE0331,21/03/2015,98476.3016,NI,-40.28061426,175.6405101202204,100.01,13.82,332.9,6.2
Wind,BPE0331,22/03/2015,51481.5432,NI,-40.28061426,175.6405101202204,99.83,14.99,345.4,4.62
Wind,BPE0331,23/03/2015,114162.95,NI,-40.28061426,175.6405101202204,99.64,16.04,82.1,3.43
Wind,BPE0331,24/03/2015,67559.4409,NI,-40.28061426,175.6405101202204,99.44,15.71,316.1,5.65
Wind,BPE0331,25/03/2015,185553.426,NI,-40.28061426,175.6405101202204,99.55,16.43,316.1,5.9
Wind,BPE0331,26/03/2015,113793.0259,NI,-40.28061426,175.6405101202204,99.38,16.68,323.4,4.7
Wind,BPE0331,27/03/2015,122499.912,NI,-40.28061426,175.6405101202204,99.25,16.57,106.9,3.79
Wind,BPE0331,28/03/2015,40877.1029,NI,-40.28061426,175.6405101202204,99.03,17.04,325.1,5.86
Wind,BPE0331,29/03/2015,385853.9987,NI,-40.28061426,175.6405101202204,98.6,16.18,315.6,9.63
Wind,BPE0331,30/03/2015,439541.8,NI,-40.28061426,175.6405101202204,98.82,15.91,288,6.51
Wind,BPE0331,31/03/2015,249582.4884,NI,-40.28061426,175.6405101202204,99.52,15.01,290.3,5.15
Wind,BPE0331,1/04/2015,42730.3901,NI,-40.28061426,175.6405101202204,100.22,15.37,64.5,2.91
Wind,BPE0331,2/04/2015,482642.7673,NI,-40.28061426,175.6405101202204,100.23,15.19,315.9,9.23
Wind,BPE0331,3/04/2015,374646.3807,NI,-40.28061426,175.6405101202204,100.08,16.08,305.9,6.96
Wind,BPE0331,4/04/2015,622503.92,NI,-40.28061426,175.6405101202204,99.45,16.08,306.2,11.4
Wind,BPE0331,5/04/2015,149914.617,NI,-40.28061426,175.6405101202204,99.76,15.42,111.5,4.48
Wind,BPE0331,6/04/2015,53178.3808,NI,-40.28061426,175.6405101202204,99.97,16.78,331.4,6.57
Wind,BPE0331,7/04/2015,469993.32,NI,-40.28061426,175.6405101202204,99.77,17.35,325.8,9.59
Wind,BPE0331,8/04/2015,289452.35,NI,-40.28061426,175.6405101202204,99.42,17.2,327,8.38
Wind,BPE0331,9/04/2015,364122.4497,NI,-40.28061426,175.6405101202204,99.33,15.17,128.2,6.66
Wind,BPE0331,10/04/2015,219131.0184,NI,-40.28061426,175.6405101202204,98.3,16.26,318.2,7.8
Wind,BPE0331,11/04/2015,205000.5136,NI,-40.28061426,175.6405101202204,98.47,12.84,181.6,5.11
Wind,BPE0331,12/04/2015,734951.27,NI,-40.28061426,175.6405101202204,98.06,13.73,305,13.64
Wind,BPE0331,13/04/2015,440197.0185,NI,-40.28061426,175.6405101202204,96.65,11.21,295.6,11.57
Wind,BPE0331,14/04/2015,35179.4988,NI,-40.28061426,175.6405101202204,97.79,6.73,211.9,7.06
Wind,BPE0331,15/04/2015,148690.0776,NI,-40.28061426,175.6405101202204,98.84,7.96,228.5,8.37
Wind,BPE0331,16/04/2015,113220.1697,NI,-40.28061426,175.6405101202204,99.63,8.89,225,6.18
Wind,BPE0331,17/04/2015,659782.29,NI,-40.28061426,175.6405101202204,99.53,11.53,320.5,9.66
