DATE,POC_Code,T2M,Island,Fuel_Code,Latitude,Longitude
2015-01-01,BPE0331,16.13,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-02,BPE0331,15.73,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-03,BPE0331,16.7,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-04,BPE0331,17.84,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-05,BPE0331,17.75,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-06,BPE0331,17.57,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-07,BPE0331,18.23,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-08,BPE0331,15.62,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-09,BPE0331,17.07,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-10,BPE0331,18.44,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-11,BPE0331,17.1,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-12,BPE0331,19.49,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-13,BPE0331,19.43,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-14,BPE0331,18.97,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-15,BPE0331,20.78,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-16,BPE0331,20.26,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-17,BPE0331,20.1,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-18,BPE0331,19.04,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-19,BPE0331,18.39,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-20,BPE0331,17.54,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-21,BPE0331,16.82,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-22,BPE0331,16.33,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-23,BPE0331,18.32,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-24,BPE0331,19.56,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-25,BPE0331,19.27,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-26,BPE0331,20.07,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-27,BPE0331,18.84,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-28,BPE0331,20.27,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-29,BPE0331,20.91,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-30,BPE0331,19.89,NI,Wind,-40.280614262851415,175.6405101202204
2015-01-31,BPE0331,20.8,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-01,BPE0331,18.99,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-02,BPE0331,19.76,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-03,BPE0331,18.63,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-04,BPE0331,17.14,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-05,BPE0331,15.67,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-06,BPE0331,13.05,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-07,BPE0331,13.65,NI,Wind,-40.280614262851415,175.6405101202204
2015-02-08,BPE0331,17.66,NI,Wind,-40.280614262851415,175.6405101202204
