DATE,Fuel_Code,POC_Code,Total_TP,PS,T2M,WD50M,WD50M_rad,u,v,WS50M
2015-03-01,Wind,BPE0331,472971.48,99.5,18.88,302.2,5.274384999526864,0.5328762760707295,-0.8461931661275643,5.89
2015-03-02,Wind,BPE0331,119485.18,99.39,18.43,304.9,5.32150888933071,0.5721458734455156,-0.8201518758737726,6.52
2015-03-03,Wind,BPE0331,173416.5861,99.24,18.92,302.8,5.28485697503883,0.5417082102827396,-0.8405666034956845,5.08
2015-03-04,Wind,BPE0331,127370.3811,98.9,18.34,315.5,5.50651379004211,0.7132504491541817,-0.7009092642998508,4.19
2015-03-05,Wind,BPE0331,59379.3772,98.46,19.62,328.2,5.728170605045389,0.8498926929868638,-0.5269557954966778,3.64
2015-03-06,Wind,BPE0331,334889.0991,97.69,17.97,332.8,5.808455750637129,0.8894163732912975,-0.4570979270586942,10.65
2015-03-07,Wind,BPE0331,586853.54,97.47,16.91,326.5,5.698500007761486,0.833885822067168,-0.5519369853120584,11.64
2015-03-08,Wind,BPE0331,544984.01,98.0,16.17,287.6,5.019566928735692,0.3023698907504447,-0.9531906677929468,9.5
2015-03-09,Wind,BPE0331,126038.9779,99.02,16.24,306.9,5.356415474370597,0.6004202253258838,-0.7996846584870907,5.37
2015-03-10,Wind,BPE0331,92748.6445,99.28,17.36,325.9,5.68802803224952,0.8280603346224942,-0.5606389945632422,4.06
2015-03-11,Wind,BPE0331,175663.2445,99.43,16.9,114.7,2.001892652037496,-0.4178670738010769,0.9085081775267216,4.18
2015-03-12,Wind,BPE0331,90434.2362,99.28,16.32,61.1,1.0663961729685354,0.4832823832550023,0.8754645270000179,4.32
2015-03-13,Wind,BPE0331,30374.9799,99.08,17.05,315.7,5.510004448546098,0.7156927337037358,-0.698415285431006,4.26
2015-03-14,Wind,BPE0331,133495.9992,99.24,18.29,125.6,2.192133540504878,-0.5821229701572893,0.8131007610470277,4.23
2015-03-15,Wind,BPE0331,320892.67,98.52,18.14,66.9,1.1676252695842066,0.3923371166035613,0.9198214973217376,6.61
2015-03-16,Wind,BPE0331,295041.746,97.34,16.36,127.1,2.218313479284793,-0.6032079877452825,0.7975839288252284,8.1
2015-03-17,Wind,BPE0331,369157.97,97.44,12.44,191.5,3.342305517569141,-0.9799247046208296,-0.199367934417197,10.65
2015-03-18,Wind,BPE0331,97103.2262,98.41,11.25,198.8,3.4697145529647275,-0.9466492601156964,-0.3222656952305114,7.96
2015-03-19,Wind,BPE0331,178355.548,99.36,10.59,178.7,3.118903373313867,-0.9997426093226984,0.0226873335727814,7.01
2015-03-20,Wind,BPE0331,62961.1089,100.06,11.1,134.3,2.343977185428385,-0.6984152854310061,0.7156927337037358,4.72
2015-03-21,Wind,BPE0331,98476.3016,100.01,13.82,332.9,5.810201079889123,0.8902128046111265,-0.4555449072335156,6.2
2015-03-22,Wind,BPE0331,51481.5432,99.83,14.99,345.4,6.028367236388414,0.9677091704819712,-0.252069358243114,4.62
2015-03-23,Wind,BPE0331,114162.95,99.64,16.04,82.1,1.4329153158873444,0.1374445460371468,0.9905094632383088,3.43
2015-03-24,Wind,BPE0331,67559.4409,99.44,15.71,316.1,5.516985765554076,0.7205511116803307,-0.6934018282758128,5.65
2015-03-25,Wind,BPE0331,185553.426,99.55,16.43,316.1,5.516985765554076,0.7205511116803307,-0.6934018282758128,5.9
2015-03-26,Wind,BPE0331,113793.0259,99.38,16.68,323.4,5.644394800949661,0.8028174751911142,-0.5962248749656162,4.7
2015-03-27,Wind,BPE0331,122499.912,99.25,16.57,106.9,1.8657569703819383,-0.2907021935982525,0.9568135840576074,3.79
2015-03-28,Wind,BPE0331,40877.1029,99.03,17.04,325.1,5.674065398233566,0.8201518758737724,-0.5721458734455159,5.86
2015-03-29,Wind,BPE0331,385853.9987,98.6,16.18,315.6,5.508259119294104,0.7144726796328034,-0.6996633405133654,9.63
2015-03-30,Wind,BPE0331,439541.8,98.82,15.91,288.0,5.026548245743669,0.3090169943749472,-0.9510565162951536,6.51
2015-03-31,Wind,BPE0331,249582.4884,99.52,15.01,290.3,5.066690818539539,0.3469356515732558,-0.9378889346118976,5.15
2015-04-01,Wind,BPE0331,42730.3901,100.22,15.37,64.5,1.1257373675363425,0.4305110968082952,0.9025852843498604,2.91
2015-04-02,Wind,BPE0331,482642.7673,100.23,15.19,315.9,5.513495107050087,0.7181262977631886,-0.6959127965923145,9.23
2015-04-03,Wind,BPE0331,374646.3807,100.08,16.08,305.9,5.338962181850654,0.5863723567357892,-0.8100416404457961,6.96
2015-04-04,Wind,BPE0331,622503.92,99.45,16.08,306.2,5.344198169606637,0.5906056676199251,-0.8069603121438021,11.4
2015-04-05,Wind,BPE0331,149914.617,99.76,15.42,111.5,1.9460421159736772,-0.3665012267242972,0.9304175679820246,4.48
2015-04-06,Wind,BPE0331,53178.3808,99.97,16.78,331.4,5.784021141109208,0.8779829754279804,-0.478691857940607,6.57
2015-04-07,Wind,BPE0331,469993.32,99.77,17.35,325.8,5.686282702997526,0.827080574274562,-0.5620833778521301,9.59
2015-04-08,Wind,BPE0331,289452.35,99.42,17.2,327.0,5.707226654021458,0.838670567945424,-0.544639035015027,8.38
2015-04-09,Wind,BPE0331,364122.4497,99.33,15.17,128.2,2.2375121010567303,-0.618408395357554,0.7858568931754021,6.66
2015-04-10,Wind,BPE0331,219131.0184,98.3,16.26,318.2,5.553637679845957,0.745475999682862,-0.6665324702494526,7.8
2015-04-11,Wind,BPE0331,205000.5136,98.47,12.84,181.6,3.1695179216217024,-0.9996101150403544,-0.0279216387235687,5.11
2015-04-12,Wind,BPE0331,734951.27,98.06,13.73,305.0,5.323254218582705,0.573576436351046,-0.8191520442889918,13.64
2015-04-13,Wind,BPE0331,440197.0185,96.65,11.21,295.6,5.159193268895239,0.4320857488019827,-0.9018325264051136,11.57
2015-04-14,Wind,BPE0331,35179.4988,97.79,6.73,211.9,3.698352684975984,-0.8489716876291415,-0.528438334722347,7.06
2015-04-15,Wind,BPE0331,148690.0776,98.84,7.96,228.5,3.988077340807043,-0.6626200482157374,-0.7489557207890022,8.37
2015-04-16,Wind,BPE0331,113220.1697,99.63,8.89,225.0,3.9269908169872414,-0.7071067811865477,-0.7071067811865475,6.18
2015-04-17,Wind,BPE0331,659782.29,99.53,11.53,320.5,5.593780252641826,0.77162458338772,-0.636078220277764,9.66
2015-04-18,Wind,BPE0331,192492.2128,99.71,11.5,132.3,2.309070600388498,-0.6730125135097734,0.7396310949786096,4.84
2015-04-19,Wind,BPE0331,25304.98,100.2,11.9,335.5,5.855579640440976,0.9099612708765432,-0.4146932426562393,4.32
2015-04-20,Wind,BPE0331,303107.56,100.32,13.61,317.5,5.541420375081996,0.7372773368101239,-0.6755902076156605,7.18
2015-04-21,Wind,BPE0331,67326.1204,100.42,14.03,302.8,5.28485697503883,0.5417082102827396,-0.8405666034956845,4.96
2015-04-22,Wind,BPE0331,236039.838,100.5,13.59,151.5,2.644173816771409,-0.8788171126619653,0.4771587602596086,5.0
2015-04-23,Wind,BPE0331,332824.45,100.72,12.47,88.5,1.5446163880149817,0.0261769483078731,0.9996573249755571,7.11
2015-04-24,Wind,BPE0331,176013.8354,100.54,12.15,54.8,0.9564404300928926,0.5764323161697933,0.8171448983351285,5.99
2015-04-25,Wind,BPE0331,109627.6214,100.12,11.75,340.3,5.939355444536703,0.9414705448120378,-0.3370952584230822,6.0
2015-04-26,Wind,BPE0331,391646.04,99.39,12.19,343.2,5.9899699928445385,0.9573194975320672,-0.2890317969444722,8.5
2015-04-27,Wind,BPE0331,292764.2985,97.85,15.19,346.9,6.054547175168329,0.9739759672790516,-0.2266513074368552,13.39
2015-04-28,Wind,BPE0331,523862.262,97.54,12.24,289.6,5.054473513775579,0.3354515697502557,-0.9420574527872964,10.91
2015-04-29,Wind,BPE0331,613573.515,97.83,11.6,284.4,4.963716392671873,0.248689887164854,-0.9685831611286312,12.75
2015-04-30,Wind,BPE0331,130118.3364,98.8,8.6,220.5,3.848451000647497,-0.760405965600031,-0.6494480483301835,8.7
2015-05-01,Wind,BPE0331,420830.2,100.08,10.47,300.2,5.239478414486977,0.503019946630235,-0.8642748019537048,7.54
2015-05-02,Wind,BPE0331,357156.02,100.47,12.11,317.9,5.548401692089973,0.741975840975616,-0.6704266189587996,7.74
2015-05-03,Wind,BPE0331,155639.7789,100.67,11.16,325.7,5.684537373745531,0.8260982944957638,-0.5635260489375716,5.04
