POC_Code,NZTM_easting,NZTM_northing,Network,Island,Fuel_Code,Latitude,Longitude
ARA2201,1873657.0,5721160.0,Taupo (Unison Networks),NI,Hydro,-38.615890622309216,176.14303617726966
ARG1101,1616836.0,5386748.0,Marlborough (Marlborough Lines),SI,Hydro,-41.67085104083395,173.20225109954703
ARI1101,1831834.0,5782895.0,Thames Valley (Powerco),NI,Hydro,-38.07202558323021,175.6429192777623
ARI1102,1831834.0,5782895.0,Thames Valley (Powerco),NI,Hydro,-38.07202558323021,175.6429192777623
ASB0661,1503869.0,5133912.0,Ashburton (Electricity Ashburton),SI,Hydro,-43.94163711869947,171.80214899733002
ATI2201,1863994.0,5746271.0,King Country (The Lines Company),NI,Hydro,-38.392831331610196,176.02273036017607
AVI2201,1390245.0,5051586.0,Waitaki (Network Waitaki),SI,Hydro,-44.658443022399226,170.35433493633775
BEN2202,1377144.0,5061473.0,Waitaki (Network Waitaki),SI,Hydro,-44.56559629595882,170.1935706066449
BPE0331,1824481.0,5537751.0,Manawatu (Powerco),NI,Wind,-40.280614262851415,175.6405101202204
BWK1101,1375377.0,4908483.0,Dunedin (Aurora Energy),SI,Hydro,-45.940469563132105,170.102172162034
COL0661,1480658.0,5197735.0,Central Canterbury (Orion New Zealand),SI,Hydro,-43.363765600228255,171.52712192899153
CYD0331,1309790.0,4990370.0,Central Otago (Aurora Energy),SI,Hydro,-45.1803905106997,169.30622444263136
CYD2201,1309790.0,4990370.0,Central Otago (Aurora Energy),SI,Hydro,-45.1803905106997,169.30622444263136
EDG0331,1936285.0,5788677.0,Eastern Bay of Plenty (Horizon Energy),NI,Solar,-37.98725855244769,176.8288826778607
GOR0331,1284097.0,4885035.0,Southland (The Power Company),SI,Wind,-46.11509135612844,168.91165218210566
HWA1101,1712537.0,5619536.0,Taranaki (Powerco),NI,Hydro,-39.56649650464245,174.31011668341935
HWB0331,1404029.0,4918978.0,Dunedin (Aurora Energy),SI,Hydro,-45.854874288620884,170.4756995786027
HWB0331,1404029.0,4918978.0,Otago (OtagoNet JV),SI,Hydro,-45.854874288620884,170.4756995786027
KOE1101,1673614.0,6082721.0,Bay of Islands (Top Energy),NI,Solar,-35.39616192457392,173.81063157178892
KPO1101,1823029.0,5799542.0,Thames Valley (Powerco),NI,Hydro,-37.92434939402106,175.53746149356627
LTN0331,1823277.0,5523360.0,Manawatu (Powerco),NI,Wind,-40.41045203836097,175.63139355408708
LTN2201,1823277.0,5523360.0,Manawatu (Powerco),NI,Wind,-40.41045203836097,175.63139355408708
MAN2201,1153098.0,4943235.0,Southland (The Power Company),SI,Hydro,-45.52086826280509,167.27749983729146
MAT1101,1934456.0,5774722.0,Eastern Bay of Plenty (Horizon Energy),NI,Hydro,-38.11342928926832,176.8146170668076
MHO0331,1807281.0,5505363.0,Kapiti and Horowhenua (Electra),NI,Hydro,-40.576575256590594,175.4489301731142
MTI2201,1839802.0,5751482.0,King Country (The Lines Company),NI,Hydro,-38.352736363349955,175.74426746123873
NMA0331,1242677.0,4861547.0,Southland (The Power Company),SI,Wind,-46.3053908844324,168.35952698071387
NSY0331,1371044.0,5009253.0,Otago (OtagoNet JV),SI,Hydro,-45.03318014098585,170.09335298588852
OHA2201,1362883.0,5094304.0,South Canterbury (Alpine Energy),SI,Hydro,-44.265871740353035,170.0292116435563
OHB2201,1369516.0,5090545.0,Waitaki (Network Waitaki),SI,Hydro,-44.3018013104678,170.1105511030352
OHC2201,1375175.0,5086098.0,Waitaki (Network Waitaki),SI,Hydro,-44.34356090558411,170.17949166475873
OHK2201,1869462.0,5744408.0,Rotorua (Unison Networks),NI,Hydro,-38.40796630351797,176.08596914380684
ROT1101,1882790.0,5772814.0,Rotorua (Unison Networks),NI,Hydro,-38.1482501499588,176.22704092769607
ROX1101,1312313.0,4957442.0,Central Otago (Aurora Energy),SI,Hydro,-45.47721291172585,169.31913607442934
ROX2201,1312313.0,4957442.0,Central Otago (Aurora Energy),SI,Hydro,-45.47721291172585,169.31913607442934
RPO2201,1845189.0,5662388.0,King Country (The Lines Company),NI,Hydro,-39.153194090464595,175.83744312216007
STK0661,1620344.0,5426252.0,Tasman (Network Tasman),SI,Hydro,-41.314941471015665,173.24305864003037
TGA0331,1875930.0,5819779.0,Tauranga (Powerco),NI,Hydro,-37.72771588652059,176.13086945006472
TKA0111,1396471.0,5123459.0,South Canterbury (Alpine Energy),SI,Hydro,-44.01380710962175,170.46085338494768
TKB2201,1376922.0,5110445.0,South Canterbury (Alpine Energy),SI,Hydro,-44.125161280220844,170.211747584784
TKU2201,1839960.0,5681601.0,King Country (The Lines Company),NI,Hydro,-38.981721323260764,175.77022447300635
TUI1101,1960528.0,5696630.0,Eastland (Eastland Network),NI,Hydro,-38.805354216670914,177.1513989212492
TWC2201,1835550.0,5529228.0,Manawatu (Powerco),NI,Wind,-40.354267210562405,175.77371000444347
TWH0331,1789809.0,5821033.0,Waikato (WEL Networks),NI,Wind,-37.73832727387181,175.1541387898066
WDV1101,1842684.0,5533314.0,Southern Hawke's Bay (Scanpower),NI,Wind,-40.31545683722073,175.85606683277967
WIL0331,1747405.0,5431065.0,Wellington (Wellington Electricity),NI,Wind,-41.25839614790544,174.7595561745668
WKM2201,1844481.0,5743971.0,King Country (The Lines Company),NI,Hydro,-38.41908188047464,175.80036274527754
WPA2201,1834680.0,5758417.0,Waipa (Waipa Networks),NI,Hydro,-38.29166089985859,175.68340782978112
WPG0331,1404006.0,4918940.0,Dunedin (Aurora Energy),SI,Hydro,-45.855209435021216,170.4753881351091
WTK0111,1396285.0,5048037.0,Waitaki (Network Waitaki),SI,Hydro,-44.69209931296851,170.42902880701246
WVY1101,1740109.0,5598256.0,Wanganui (Powerco),NI,Wind,-39.75409738031374,174.63550258187146
WWD1102,1739027.0,5427096.0,Wellington (Wellington Electricity),NI,Wind,-41.29561783478981,174.66049610393674
WWD1103,1739027.0,5427096.0,Wellington (Wellington Electricity),NI,Wind,-41.29561783478981,174.66049610393674
HRP2201,,,Hawke's Bay (Unison Networks),NI,Wind,-39.60433,176.75355
