Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-01,7880,7840,7870,7870,7880,7860,7810,7890,7880,7870,7880,7850,7880,7850,7850,7830,7860,7880,7810,7870,7850,7860,7870,7840,7860,7840,7880,7880,7840,7870,7860,7860,7840,7850,7870,7860,7860,7840,7850,7880,7850,7860,7880,7840,7850,7860,7900,7860,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-02,7860,7880,7860,7840,7860,7860,7870,7880,7850,7860,7840,7870,7830,7850,12450,12540,21040,22710,22710,19900,21410,22680,22680,22650,19720,25700,25700,25800,23380,22650,24640,25750,25600,25670,25650,25650,25660,25700,25160,24670,24660,24600,24670,24550,24670,21650,9260,7990,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-03,7930,7860,8610,8090,7860,7840,7890,7890,7850,7880,7890,7850,7880,7940,9860,10440,21870,21010,22680,22640,22660,22310,22790,22640,22790,22660,22520,22950,22520,22750,22660,22600,22670,22630,21740,20150,21670,19180,18710,18760,22540,24600,24600,24750,24570,24590,20190,9070,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-04,7890,7850,7900,7830,7910,7830,7870,7890,7860,7860,7860,7860,7830,7860,7860,7890,11090,12810,12790,12800,12720,12750,13710,20620,20670,20660,20660,20730,20700,20700,20640,20750,20710,20680,11320,14580,20640,20670,20680,20680,21370,21690,21640,21650,21740,21690,21580,12640,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-05,13860,13780,12950,12930,12570,10450,7910,7870,7860,7890,7840,7860,7870,7860,7880,7810,7890,7880,7870,7840,7830,8780,10800,10810,10820,10820,10820,10810,10820,11770,11850,11810,11790,11820,11810,11820,11820,11810,11810,11800,11810,11810,11830,11800,11610,10800,10850,10820,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-06,10830,10840,8260,7810,7840,7850,7890,7860,7860,7820,7910,7830,7840,8240,10980,9800,9590,8810,8780,8630,8290,8300,8320,8330,8300,8310,8310,8310,8280,8320,7890,7810,7740,7830,7800,7840,7800,7860,7820,9040,9820,9830,12780,12740,12780,12700,12880,12820,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-07,12810,12810,10700,9830,9900,9930,9820,9780,11240,11340,11280,11310,11320,11340,11290,11310,11300,11310,11300,14230,15160,15230,15220,15200,15190,15200,15190,15170,15190,15210,15200,15200,15240,15180,15260,15410,15960,16180,20230,21660,21650,21650,21670,21650,21690,21510,20800,13650,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-08,12840,12810,12800,9900,12060,12820,12700,11870,11820,11820,11790,11820,11830,11800,14330,21580,21640,21770,23970,24060,24120,24110,24130,24100,24310,24090,24000,24090,24060,18820,12790,12780,22320,23180,23110,23140,23080,23130,21290,19210,11480,10960,9820,9810,9830,8860,10360,8900,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-09,8890,8860,9700,9850,9850,9880,9800,9800,9880,9820,9860,9830,11120,12770,12730,12670,20780,22580,22590,21860,22100,22450,22630,22660,22580,23500,23600,23580,24100,24050,24090,24110,24100,24100,23380,22630,22640,22610,22960,22380,22200,22110,22120,21880,20180,19410,14240,13700,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-10,13820,14090,14180,14260,14230,14260,14240,14270,14270,14220,13330,13290,13220,13330,13890,13780,16660,20580,20590,23750,25530,25590,25590,25570,25550,25810,25690,25600,28230,31500,33460,35620,36860,36960,36270,35440,35400,35460,35510,35480,33830,33540,23880,23610,23620,23650,23600,23220,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-11,22710,22660,22720,22630,22680,22650,22650,22720,22700,23170,23620,23620,23710,23240,23390,23650,23840,22560,20700,20720,20540,20520,20690,20870,20700,20710,20690,20670,20680,20750,20650,20670,20670,20750,20740,20640,20520,13720,9090,7850,7820,7830,8040,8320,8360,8300,8410,8390,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-12,8360,8360,8280,8400,8350,8330,8390,8350,8360,8330,8400,8320,8330,8280,7880,7840,7890,7860,8000,7720,8060,9070,8570,7800,7800,7820,7900,7860,7800,7820,7890,9850,9800,9790,9850,9820,9840,10810,11100,11560,9320,7830,7830,7830,7830,8030,8430,8340,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-13,8350,8360,8320,8330,8360,8340,8330,8340,8360,8370,8360,8320,8870,8870,21330,24390,24630,24520,24010,17950,24000,24050,24640,24620,18170,24630,24600,24640,24640,24660,24670,24630,24590,24640,25520,26630,26600,26300,26120,26320,31550,35810,36650,37840,37360,36590,35570,35470,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-14,35490,35890,36970,36990,37040,36970,37020,37010,36990,36960,36900,36920,38170,38560,34660,10610,7860,8970,11760,9260,11310,12250,20200,25350,18370,8050,7850,7860,7850,12510,12640,12620,12510,12510,17210,23760,25040,26180,26250,26380,30890,31520,31490,31330,31600,31770,32590,32280,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-15,31610,31540,29910,26780,26780,26810,26810,26810,26820,26810,26800,26810,26810,26800,22260,21620,12540,12710,12310,7820,7840,7860,7860,7850,7820,7890,7860,7830,7880,7830,7840,7860,7840,7830,7830,7840,7840,7820,7850,7820,7870,7820,7890,7800,7880,7870,7860,7860,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-16,7890,7910,7850,7890,7850,7870,7830,7890,7860,7860,7900,7860,7830,7870,7830,7800,7820,7840,7820,7850,7810,9290,11950,12610,12530,12560,12600,12610,12510,12560,12600,12620,12550,12590,13170,14290,14270,14290,14280,14280,14350,14290,15480,14590,20950,20900,18900,13640,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-17,14810,17180,18210,14790,12040,11440,11930,8940,8330,8400,8360,8340,8360,8320,8340,8330,11960,12790,12800,12800,12720,12770,12810,12830,12740,12800,13280,14290,14290,14300,14260,14230,14250,14260,14250,14240,14260,14250,14250,14240,14260,14250,19500,23950,26690,26760,26740,26710,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-18,26710,23610,26740,26750,26650,25460,12930,9080,10870,11710,19470,18500,20260,20170,21260,20280,20150,20610,21210,21630,20480,21640,21680,22460,25900,25980,25320,20480,14040,15460,16390,16750,16670,16430,12670,12850,12320,12680,12330,12330,12320,12310,12320,12310,12300,12340,12370,12320,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-19,12340,11050,7830,7890,7890,7860,7880,7870,8310,8370,8370,8360,7910,7860,7850,8310,8370,8350,8360,8350,8300,8410,8330,8350,8320,8350,8340,8380,8330,8410,8370,8350,9210,12810,12830,12830,12810,12800,12830,12820,15220,23620,24570,25100,25120,25130,30640,33440,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-20,33510,25050,32780,33500,33530,33540,33470,32340,26360,23920,33440,24090,23600,17930,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2025-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3851,4181,4126,4097,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2651,3129,3111,3102,3104,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,2467,2487,2589,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2557,3909,3613,3381,3750,3391,25,0,0,0,0,0,0,0,0,0,0,2379,2910,2974,3000,2984,2977,2978,3761,3389,2989,2978,2997,2988,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-07,76,0,0,0,0,0,0,0,0,0,0,0,0,2743,4560,4450,4199,4419,2964,2943,2939,4394,4284,4190,4432,4433,4431,3465,3556,3846,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,3012,3478,4437,4428,4419,4414,4416,4413,4417,4410,4416,4413,4125,3197,101,0,0,0,0,0,0,0,0,0,0,0,2471,2911,2903,2904,2909,2572,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-09,0,0,0,0,0,0,2452,2894,2905,2890,2905,3384,2967,3377,3408,4407,4412,4416,4420,4345,4340,4500,4503,4486,4474,4464,4459,4442,4427,2995,2997,3004,3007,3011,3011,3015,3013,3017,194,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,3076,3055,3050,3187,3740,3694,3665,3033,3028,3020,3021,3028,3027,3028,3029,3033,3033,3036,3034,3031,3027,3029,3023,3024,141,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,4620,4733,4923,4515,3878,53,0,0,0,0,0,0,0,0,0,0,0,0,2612,3095,3083,3068,3050,3040,3454,48,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574,3009,3455,3152,3024,3013,3021,582,0,0,0,0,0,0,0,0,0,0,0,0,2592,3067,3056,3049,3043,32,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-13,0,1,2676,3052,3035,3011,6,0,0,0,0,0,0,2233,3573,4024,4441,3827,3983,3680,3992,3990,3999,4001,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-14,0,0,0,0,2584,3100,160,0,0,0,0,0,0,2913,4996,3925,3573,3024,3014,3015,3019,3467,4359,4713,801,0,0,0,0,0,0,0,0,0,2692,3297,3943,267,0,0,0,0,51,723,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2947,3810,3951,3956,3968,3792,3318,347,0,0,0,0,0,2037,3080,3067,3053,3829,4007,4000,3055,3042,3032,63,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473,3072,3041,3032,3025,3017,3014,3013,3058,3010,3016,3010,74,0,0,0,0,0,0,0,0,0,0,0,2488,3059,3387,3985,3585,3225,3203,3033,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,3100,3387,3216,3053,3049,3518,4000,3828,4376,4292,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,4294,4063,3261,3535,4008,4004,4008,216,0,0,0,0,0,0,0,0,0,2533,4106,3581,4015,4002,3676,109,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4401,5235,4973,3976,3990,3990,87,583,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116,4102,4219,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3631,4997,4832,4321,3998,173,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3236,3120,3060,3540,3045,3996,3997,3996,3993,3991,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3134,4084,4100,4029,4021,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3551,4053,4359,4346,4179,32,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3773,4869,4932,4926,4933,4790,4609,139,0,0,0,0,0,0,0,0,0,0,0,0,0,3324,4185,4018,4019,4609,4674,4407,206,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3344,4986,4937,4923,4932,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2892,3037,3035,3032,3031,3028,93,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,4008,4033,4027,3387,3821,3201,3026,3017,3004,3003,2995,2980,3252,3921,4215,3903,3935,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-27,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2811,3659,3031,3024,3015,263,0,0,0,0,0,0,0,0,0,0,3107,3982,3666,3820,3163,3011,3008,3786,3622,3957,4444,85,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490,3829,3998,3344,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2782,3048,3839,3999,3554,3346,3534,3137,3363,87,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,2847,4105,4337,3975,3791,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3020,3716,3219,3151,3034,3021,3639,129,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,3815,4673,4601,3895,3941,4906,4914,4923,4924,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARG,ARG1101,CNIR,argyle_wairau,Hydro,Hydro,2025-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,3975,3846,3726,3875,3837,3989,3048,3032,110,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,3045,3991,4010,4011,4815,4016,4772,4616,17,0,0,0,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-01,6410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10834,23076,23501,23555,23558,23527,23548,23676,24085,23548,24082,23827,23781,23748,23657,23164,21050,19434,22294,23851,23698,23680,23507,23549,23518,23522,24098,23517,23519,25611,22787,11927,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-02,13525,0,0,0,0,0,0,0,0,0,0,0,10564,11376,22704,23431,23527,23589,22913,23427,23465,23536,23543,23531,23524,23469,23441,23647,23617,23518,23522,23565,23507,24757,23576,23521,23542,23603,23228,24232,23741,23802,22135,16414,23441,19523,15446,561,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893,6783,9978,11959,16680,23167,22707,23212,23616,23531,23657,23521,23389,18486,22903,20374,20092,20032,11924,11336,12969,23475,16705,16644,19430,24305,23952,23441,23371,24159,23978,23966,24105,23886,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-04,23998,23427,24223,23311,16092,14797,15665,15817,16252,15367,19784,24313,23646,24179,24026,24105,24145,23521,24484,24547,24467,24517,24565,24475,24505,23575,23776,24174,24431,24102,23930,24110,24117,23823,35338,25574,23370,23402,23511,23251,23694,23910,23253,23671,29670,24151,23088,20447,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-05,19097,11978,10958,12132,22732,14822,16147,19574,19308,26507,23061,23504,23513,23549,24009,23371,23592,24099,23933,23781,23708,23741,24037,23943,24075,24001,24023,23665,24171,23940,24340,23908,24057,23921,24019,24048,24369,24025,24030,23996,24024,23903,24077,23281,23814,23437,24438,23824,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-06,23959,20661,23435,23684,20291,20904,14608,19420,23267,23460,21392,23655,23778,23884,22712,23827,16081,21926,23465,23540,22945,23503,23642,23548,23534,23508,23537,23526,23470,24520,24073,22081,23431,24397,20634,22556,23489,23615,23515,23546,23488,24058,23755,22772,23594,23126,25362,20206,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-07,11636,11645,11622,11386,11096,11905,11526,11461,11637,22083,24278,23978,23929,24658,23534,23901,23824,23977,23984,23730,22798,22729,23530,22872,24005,24206,23375,23426,24407,24499,24085,24149,24560,23824,23989,23454,23478,24000,24071,23914,23765,23749,24272,23598,24193,23009,24654,24075,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-08,24037,24037,12041,7156,395,0,0,0,0,0,10823,22700,24191,23657,24227,32280,35943,36151,33311,31352,34582,35620,36329,36383,36954,34501,33831,34948,34759,34551,36079,35021,36008,35751,35781,36134,35477,35670,36198,35994,34739,35562,35394,35228,35925,35868,28715,23243,,
ARI,ARI1101,MRPL,arapuni,Hydro,Hydro,2025-01-09,15621,19371,23231,23330,23185,23499,23441,23079,23720,23796,23236,23170,22768,23694,23795,27295,23946,23520,23929,24119,24095,24138,23992,23990,23990,23992,24078,23961,24030,24090,34327,35991,35896,36106,37151,36595,35645,35983,34711,35420,35287,34697,34900,27191,23177,23198,23240,23065,,
