Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-01,13330,13320,13310,13270,13300,13320,13330,13270,13330,13280,13280,16570,23210,22060,21950,21940,21830,22010,22030,21950,21850,26550,26690,26640,25530,25630,25670,25520,25500,25430,25540,26840,27850,27790,27740,25740,25460,25350,25310,25430,25490,25510,25550,25550,25570,25670,26020,25990,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-02,26000,26080,26060,25870,26050,25920,26010,26230,26170,26160,26050,26040,26180,26010,26100,26090,26120,26070,26050,26100,25860,25870,25920,25950,25750,23870,24130,24100,23850,23820,23950,25930,23280,23200,23240,26820,26810,26820,31140,39340,38900,38800,38740,38650,36120,36000,36460,36240,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-03,38010,38220,38220,38060,38150,35850,35630,35870,35700,35790,35870,35870,37210,37140,37260,37190,39640,40120,40030,39890,39310,39340,39270,39110,34530,27460,27900,28060,31760,31620,35420,37280,37310,37240,39640,36780,36750,40200,40080,39990,39860,39730,38020,37310,35180,35360,35560,36920,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-04,36880,37130,37160,38000,38410,38400,38470,38430,37530,35710,35440,36740,38390,38730,38800,38710,38580,38630,38650,38670,38330,38380,38430,38220,38190,38200,38230,38200,37110,33150,37480,37510,37510,37590,37610,38120,38190,38050,38180,38220,38120,38050,38080,38130,38060,38120,37950,38130,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-05,38050,38050,38030,37960,34090,33950,34130,34230,34460,36850,37000,38710,38820,38570,38780,38790,38620,38530,38640,38530,38320,38360,38350,38360,36420,37000,37220,37270,37010,37010,37160,37050,37090,37200,37300,37170,38550,38380,38320,38350,38230,38230,38280,38180,38020,36690,33170,33060,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-06,33330,33540,33780,33880,34360,33790,38890,38850,38800,38730,38760,38650,38800,38600,39330,39930,39800,38730,36670,36650,36480,36510,36570,36480,36290,36520,36530,36600,36350,36470,36600,36560,36590,36740,36630,37640,37440,37360,37420,37700,37640,37680,37290,37870,37710,37510,37680,37510,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-07,37600,37660,36950,25360,24930,27450,37470,37690,37830,37840,37830,37800,38000,37700,37820,37820,37610,37550,37800,37700,37480,37500,37510,37510,37320,37290,37240,37450,37200,37290,37310,36710,35250,35550,35510,36150,38720,38440,38410,38360,38350,38380,38320,38300,38280,38240,38240,38180,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-08,36070,36300,36300,36400,36460,36470,37630,37670,37650,37610,37590,37640,37620,37530,37610,37570,37550,36390,35430,35470,35290,35340,35240,36070,36250,36300,36660,36890,36420,36390,36260,36500,36780,38720,38730,38690,38110,37380,37470,37440,37550,40130,40180,40060,39750,37710,37670,37910,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-09,37870,37750,37580,37260,37330,37380,37350,37350,37440,37330,37480,35760,35430,28740,31270,38170,36090,36130,36090,36200,35930,35930,35850,36120,35880,35940,36010,36340,36780,36900,36940,36980,36910,37020,38580,40150,40110,39930,39840,39710,39640,39520,39370,35420,35900,35940,36110,36260,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-10,36190,36360,36350,36420,36430,36470,36500,36540,36530,36560,36650,36560,36700,36350,38670,39000,38990,38550,37700,37430,36220,35800,35730,36070,35520,35750,35760,36050,35740,35660,35810,35880,35700,35830,35940,38410,38480,38230,38340,38380,38330,38380,38240,38170,38250,38090,38030,35710,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-11,35470,35630,35650,35650,35720,35610,35820,35750,35790,35690,35910,35890,36000,36130,36890,38640,38490,38400,38510,37800,35330,35530,35380,35680,35520,35690,35290,37080,36880,37010,37030,36960,37040,37050,36950,37040,37100,37100,38000,38250,38210,38310,38280,38230,37620,35230,35490,35490,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-12,35660,35680,35660,35770,35870,35870,35970,35900,37410,37120,38050,38140,38200,38110,39350,39550,39410,37220,36880,35610,35330,35390,35550,35270,34800,34770,34760,34930,34620,34210,34500,33230,35210,35880,36930,37440,39210,40050,39860,39760,39650,39530,37340,36520,36470,36500,36910,36560,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-13,36570,36740,36680,36770,36790,36750,36770,36710,36830,36760,33200,28210,35240,36140,39550,39520,39430,38510,36740,36770,34360,33670,33910,34220,33740,34170,35430,35570,35320,35250,35380,35490,35540,36870,37020,36900,40120,40010,39860,39550,39270,36300,36340,36440,36410,36360,36560,36470,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-14,36540,36570,36490,36570,36590,36600,36570,36620,36660,36560,36650,36670,36810,35470,37970,38080,34850,26810,26920,26930,26560,26470,28790,27030,25570,25630,27200,27370,27670,26640,26390,26390,26460,26490,26580,26640,28740,38500,38290,38290,38180,38150,35840,35890,28430,26910,27370,27620,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-15,27690,27620,27580,27580,27580,27560,26750,24510,24550,24570,24600,24730,24690,24700,26680,28670,28670,28650,28600,28570,27260,25920,22650,23900,23720,22990,22900,16460,14800,14850,14840,14790,14800,14800,19470,23780,25040,26710,26720,26730,26750,26710,26810,26790,26780,26780,26840,26780,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-16,17090,14760,14800,14810,14820,14810,14800,14800,14780,14760,14760,14740,19560,26930,26900,26880,26870,26870,26820,26850,26770,26740,26490,13390,13310,13310,13290,13330,13320,13320,13350,13330,13370,13280,13310,18240,26750,26640,26590,26590,26600,26620,26610,26610,26640,26630,26680,26560,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-17,26660,26680,26660,26660,26690,26640,26740,26670,26710,26720,26650,26790,26770,26720,31720,36320,38120,38370,38180,37930,30590,26480,26460,26490,26360,26390,26430,26470,26230,26330,26250,26490,26340,26270,26540,33700,37640,37640,37730,37720,37670,37470,37480,37300,35580,33510,31370,27500,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-18,27440,27550,28120,28210,28160,28110,28070,32880,28960,34330,34520,33760,29890,29310,34440,37580,38770,38650,34420,33740,33630,33590,33740,33680,33550,34120,35490,35450,35310,38040,38630,38600,38490,38540,38360,37330,38000,39680,37960,36270,36360,36360,36340,28060,19250,13360,13370,13310,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2018-09-19,13350,13360,13380,13360,13310,13290,13320,13310,13220,13740,26190,25960,26210,29730,32450,32930,36310,37560,37240,37300,36680,36930,32940,30290,29800,29870,29760,30120,29950,29790,30410,34700,36780,36920,36830,36800,36970,39700,40010,39980,39500,33750,26950,27000,27150,27120,27110,26710,,
