Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-01,8220,8150,8410,8230,7840,8390,8410,8370,8340,8350,8300,8130,8610,8290,8290,8190,8290,8250,8280,8540,7860,7840,10130,10810,10900,7870,8270,7850,7790,7840,7830,7800,7830,7910,7860,7830,8360,9350,11760,9490,9290,8830,8860,8820,8290,7970,7840,7810,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-02,7820,7980,7940,8320,8350,8360,8330,8320,8350,8330,9320,9720,9900,9840,9940,9150,7750,7740,7820,7770,7780,7890,7750,7780,7780,7860,10730,10730,10760,10780,10760,10790,10760,13650,21570,21660,21520,21570,22320,23630,23660,23600,23610,23600,23560,18950,12050,11990,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-03,12330,12310,12290,11180,9450,9820,9840,10880,11820,11790,11800,11830,11780,11790,11810,12050,20750,22580,22600,22650,22580,22620,21890,21640,21880,22640,23520,23600,23600,23630,23620,23700,23820,23470,23920,25240,25120,25030,25120,25110,25070,25140,20930,11820,11940,12730,12800,12820,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-04,12800,12850,12730,12730,12790,12780,12350,10820,10840,10830,10840,10900,10780,10800,10810,10830,10840,10790,21630,21660,22710,23630,23610,11940,11780,11810,11770,12450,12840,12340,11810,11800,11810,12710,12800,22650,23080,23150,23170,21230,11340,11320,11350,11300,11260,11320,11310,10840,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-05,10860,10790,10790,10830,10810,10790,10830,10790,10830,10830,10820,10790,10840,10790,10810,9590,8350,8390,10380,23410,23500,23640,23590,25020,26290,26420,26400,26400,26260,26410,26360,26370,26430,31380,31480,31470,31370,26560,26440,25470,22440,12350,11810,11800,11810,11780,11800,11820,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-06,11770,11770,11830,11790,11780,11800,11800,11800,11790,11790,11820,11760,11810,11790,11790,11770,11870,11770,11780,11660,11280,11310,11730,11410,11270,10850,10780,10820,10240,9830,9840,9790,9800,9800,10240,10280,19540,20340,20180,20180,20170,20160,20210,20120,22440,21600,21710,21650,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-07,12500,11790,11820,12180,11820,11810,11810,11820,11790,11770,11820,11830,18930,23750,22660,22610,22630,22660,22550,22650,20690,22450,20510,12660,12640,12800,12760,12680,12260,11820,11800,11770,11790,16850,20580,20510,20800,21660,23600,24520,24520,24560,25320,25510,25460,25480,25510,25450,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-08,22100,18850,11360,11830,12270,12280,12290,10860,10820,10810,10810,10800,10920,20620,24840,25380,25380,25410,24210,22680,23370,23710,21630,19450,14720,14800,14810,14780,14760,14740,14850,20290,18670,11370,20900,21540,21360,21750,21680,20220,12300,12050,10820,10780,10820,11730,11890,11670,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-09,10810,10800,8830,8330,8320,8370,8320,8810,8870,10710,10790,10780,10910,11540,12500,12920,12930,16670,20650,13100,12810,12830,12860,12870,15390,21010,21030,21200,21120,16860,12860,18950,13970,12900,12910,21920,24080,24030,24030,24040,24040,20660,21550,10870,15980,13160,11330,11320,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2022-06-10,11320,12160,12780,11790,12840,12860,12840,12810,12080,11310,11300,11290,11390,11450,11240,16350,23620,23570,23630,23590,23580,23610,23560,23610,23570,23630,23600,15260,12800,12840,12870,12800,11760,11360,10810,10540,9730,9820,9780,9810,8890,7830,7850,8040,8080,8020,8080,8140,,
