DATE,POC_Code,RH2M
2015-01-01,ARA2201,62.17
2015-01-02,ARA2201,64.52
2015-01-03,ARA2201,60.84
2015-01-04,ARA2201,68.73
2015-01-05,ARA2201,63.03
2015-01-06,ARA2201,60.26
2015-01-07,ARA2201,62.57
2015-01-08,ARA2201,56.69
2015-01-09,ARA2201,65.98
2015-01-10,ARA2201,61.25
2015-01-11,ARA2201,56.09
2015-01-12,ARA2201,58.6
2015-01-13,ARA2201,62.5
2015-01-14,ARA2201,61.3
2015-01-15,ARA2201,59.6
2015-01-16,ARA2201,63.9
2015-01-17,ARA2201,64.73
2015-01-18,ARA2201,57.5
2015-01-19,ARA2201,59.09
2015-01-20,ARA2201,57.57
2015-01-21,ARA2201,50.92
2015-01-22,ARA2201,62.66
2015-01-23,ARA2201,55.58
2015-01-24,ARA2201,54.32
2015-01-25,ARA2201,48.18
2015-01-26,ARA2201,49.15
2015-01-27,ARA2201,72.96
2015-01-28,ARA2201,82.22
2015-01-29,ARA2201,69.18
2015-01-30,ARA2201,72.32
2015-01-31,ARA2201,78.06
2015-02-01,ARA2201,85.7
2015-02-02,ARA2201,85.59
2015-02-03,ARA2201,71.45
2015-02-04,ARA2201,75.59
2015-02-05,ARA2201,68.49
2015-02-06,ARA2201,59.92
2015-02-07,ARA2201,48.95
2015-02-08,ARA2201,58.46
2015-02-09,ARA2201,69.66
2015-02-10,ARA2201,63.96
2015-02-11,ARA2201,57.81
2015-02-12,ARA2201,64.1
2015-02-13,ARA2201,57.17
2015-02-14,ARA2201,61.01
2015-02-15,ARA2201,51.11
2015-02-16,ARA2201,62.51
2015-02-17,ARA2201,61.47
2015-02-18,ARA2201,51.73
2015-02-19,ARA2201,56.33
2015-02-20,ARA2201,59.31
2015-02-21,ARA2201,70.7
2015-02-22,ARA2201,79.21
2015-02-23,ARA2201,78.91
2015-02-24,ARA2201,71.35
2015-02-25,ARA2201,63.0
2015-02-26,ARA2201,74.0
2015-02-27,ARA2201,76.1
2015-02-28,ARA2201,58.15
2015-03-01,ARA2201,57.62
2015-03-02,ARA2201,68.36
2015-03-03,ARA2201,68.5
2015-03-04,ARA2201,79.2
2015-03-05,ARA2201,69.77
2015-03-06,ARA2201,84.46
2015-03-07,ARA2201,85.57
2015-03-08,ARA2201,69.38
2015-03-09,ARA2201,68.64
2015-03-10,ARA2201,60.07
2015-03-11,ARA2201,79.06
2015-03-12,ARA2201,90.86
2015-03-13,ARA2201,73.21
2015-03-14,ARA2201,70.93
2015-03-15,ARA2201,81.16
2015-03-16,ARA2201,85.19
2015-03-17,ARA2201,74.95
2015-03-18,ARA2201,60.61
2015-03-19,ARA2201,55.02
2015-03-20,ARA2201,58.2
2015-03-21,ARA2201,68.71
2015-03-22,ARA2201,70.22
2015-03-23,ARA2201,74.74
2015-03-24,ARA2201,74.89
2015-03-25,ARA2201,76.56
2015-03-26,ARA2201,79.62
2015-03-27,ARA2201,75.04
2015-03-28,ARA2201,85.19
2015-03-29,ARA2201,83.28
2015-03-30,ARA2201,76.73
