DATE,Avg_PS
2015-01-01,99.9908
2015-01-02,100.4462
2015-01-03,100.7838
2015-01-04,100.6023
2015-01-05,100.3746
2015-01-06,100.3531
2015-01-07,100.3262
2015-01-08,100.6362
2015-01-09,100.6169
2015-01-10,100.4185
2015-01-11,99.8385
2015-01-12,99.8308
2015-01-13,99.8777
2015-01-14,99.7323
2015-01-15,99.4177
2015-01-16,99.0954
2015-01-17,98.8285
2015-01-18,98.7708
2015-01-19,99.0738
2015-01-20,99.9985
2015-01-21,100.6123
2015-01-22,100.7646
2015-01-23,100.55
2015-01-24,100.5723
2015-01-25,100.5085
2015-01-26,100.0323
2015-01-27,99.7885
2015-01-28,99.7477
2015-01-29,99.8508
2015-01-30,99.9162
2015-01-31,99.8862
2015-02-01,99.5477
2015-02-02,98.9315
2015-02-03,98.8269
2015-02-04,98.7492
2015-02-05,98.6362
2015-02-06,98.8554
2015-02-07,99.8985
2015-02-08,100.1215
2015-02-09,100.1269
2015-02-10,101.3877
2015-02-11,101.62
2015-02-12,101.0823
2015-02-13,100.6423
2015-02-14,100.9869
2015-02-15,101.1338
2015-02-16,101.0408
2015-02-17,100.9631
2015-02-18,100.8546
2015-02-19,100.55
2015-02-20,100.5638
2015-02-21,100.41
2015-02-22,100.7292
2015-02-23,100.8715
2015-02-24,100.4208
2015-02-25,99.8454
2015-02-26,99.8962
2015-02-27,99.7508
2015-02-28,100.0446
2015-03-01,100.2277
2015-03-02,100.0646
2015-03-03,100.0277
2015-03-04,99.6492
2015-03-05,99.1185
2015-03-06,98.24
2015-03-07,98.1762
2015-03-08,98.9262
2015-03-09,99.8438
2015-03-10,100.1015
2015-03-11,100.3208
2015-03-12,100.0908
2015-03-13,99.8577
2015-03-14,100.12
2015-03-15,99.3177
2015-03-16,98.3215
2015-03-17,98.4692
2015-03-18,99.3746
2015-03-19,100.2738
2015-03-20,100.8677
2015-03-21,100.7569
2015-03-22,100.7115
2015-03-23,100.5023
2015-03-24,100.1792
2015-03-25,100.2915
2015-03-26,100.1938
2015-03-27,100.1177
2015-03-28,99.7685
2015-03-29,99.3431
