Fuel_Code,POC_Code,Trading_date,Total_TP
Hydro,ARA2201,2009-11-01,1652580.0
Hydro,ARA2201,2009-11-02,876980.0
Hydro,ARA2201,2009-11-03,1368310.0
Hydro,ARA2201,2009-11-04,1598600.0
Hydro,ARA2201,2009-11-05,1142230.0
Hydro,ARA2201,2009-11-06,1032550.0
Hydro,ARA2201,2009-11-07,913340.0
Hydro,ARA2201,2009-11-08,1084780.0
Hydro,ARA2201,2009-11-09,1280070.0
Hydro,ARA2201,2009-11-10,1254500.0
Hydro,ARA2201,2009-11-11,1072740.0
Hydro,ARA2201,2009-11-12,1360920.0
Hydro,ARA2201,2009-11-13,766520.0
Hydro,ARA2201,2009-11-14,1050370.0
Hydro,ARA2201,2009-11-15,1101510.0
Hydro,ARA2201,2009-11-16,1109010.0
Hydro,ARA2201,2009-11-17,1061870.0
Hydro,ARA2201,2009-11-18,1092500.0
Hydro,ARA2201,2009-11-19,1225190.0
Hydro,ARA2201,2009-11-20,1050000.0
Hydro,ARA2201,2009-11-21,756680.0
Hydro,ARA2201,2009-11-22,669290.0
Hydro,ARA2201,2009-11-23,961900.0
Hydro,ARA2201,2009-11-24,1018900.0
Hydro,ARA2201,2009-11-25,793360.0
Hydro,ARA2201,2009-11-26,756680.0
Hydro,ARA2201,2009-11-27,554150.0
Hydro,ARA2201,2009-11-28,946370.0
Hydro,ARA2201,2009-11-29,1053380.0
Hydro,ARA2201,2009-11-30,1133160.0
Hydro,ARG1101,2009-11-01,146583.0
Hydro,ARG1101,2009-11-02,187290.0
Hydro,ARG1101,2009-11-03,168132.0
Hydro,ARG1101,2009-11-04,173981.0
Hydro,ARG1101,2009-11-05,175270.0
Hydro,ARG1101,2009-11-06,158141.0
Hydro,ARG1101,2009-11-07,155194.0
Hydro,ARG1101,2009-11-08,134533.0
Hydro,ARG1101,2009-11-09,137339.0
Hydro,ARG1101,2009-11-10,131788.0
Hydro,ARG1101,2009-11-11,121659.0
Hydro,ARG1101,2009-11-12,123467.0
Hydro,ARG1101,2009-11-13,100176.0
Hydro,ARG1101,2009-11-14,113907.0
Hydro,ARG1101,2009-11-15,98628.0
Hydro,ARG1101,2009-11-16,160013.0
Hydro,ARG1101,2009-11-17,96670.0
Hydro,ARG1101,2009-11-18,99327.0
Hydro,ARG1101,2009-11-19,106238.0
Hydro,ARG1101,2009-11-20,112851.0
Hydro,ARG1101,2009-11-21,98691.0
Hydro,ARG1101,2009-11-22,156822.0
Hydro,ARG1101,2009-11-23,126730.0
Hydro,ARG1101,2009-11-24,123444.0
Hydro,ARG1101,2009-11-25,111314.0
Hydro,ARG1101,2009-11-26,103897.0
Hydro,ARG1101,2009-11-27,101001.0
Hydro,ARG1101,2009-11-28,157111.0
Hydro,ARG1101,2009-11-29,125184.0
Hydro,ARG1101,2009-11-30,118924.0
Hydro,ARI1101,2009-11-01,3128150.0
Hydro,ARI1101,2009-11-02,2999290.0
Hydro,ARI1101,2009-11-03,3189470.0
Hydro,ARI1101,2009-11-04,3396080.0
Hydro,ARI1101,2009-11-05,2790280.0
Hydro,ARI1101,2009-11-06,2915340.0
Hydro,ARI1101,2009-11-07,2159050.0
Hydro,ARI1101,2009-11-08,2303760.0
Hydro,ARI1101,2009-11-09,2812680.0
Hydro,ARI1101,2009-11-10,3153810.0
Hydro,ARI1101,2009-11-11,3139110.0
Hydro,ARI1101,2009-11-12,2814780.0
Hydro,ARI1101,2009-11-13,2508970.0
Hydro,ARI1101,2009-11-14,2469320.0
Hydro,ARI1101,2009-11-15,2127780.0
Hydro,ARI1101,2009-11-16,2364070.0
Hydro,ARI1101,2009-11-17,2666170.0
Hydro,ARI1101,2009-11-18,3253850.0
Hydro,ARI1101,2009-11-19,2632390.0
Hydro,ARI1101,2009-11-20,2398140.0
Hydro,ARI1101,2009-11-21,2096850.0
Hydro,ARI1101,2009-11-22,1969190.0
Hydro,ARI1101,2009-11-23,2370200.0
Hydro,ARI1101,2009-11-24,2338770.0
Hydro,ARI1101,2009-11-25,1923440.0
Hydro,ARI1101,2009-11-26,1964240.0
Hydro,ARI1101,2009-11-27,2009260.0
Hydro,ARI1101,2009-11-28,2258340.0
Hydro,ARI1101,2009-11-29,1852070.0
Hydro,ARI1101,2009-11-30,3046810.0
Hydro,ASB0661,2009-11-01,524739.0
Hydro,ASB0661,2009-11-02,521985.0
Hydro,ASB0661,2009-11-03,516844.19999999995
Hydro,ASB0661,2009-11-04,513406.79999999993
Hydro,ASB0661,2009-11-05,420484.80000000005
Hydro,ASB0661,2009-11-06,291210.0
Hydro,ASB0661,2009-11-07,243015.0
Hydro,ASB0661,2009-11-08,237201.0
Hydro,ASB0661,2009-11-09,153979.2
Hydro,ASB0661,2009-11-10,78744.0
Hydro,ASB0661,2009-11-11,53652.0
