POC_Code,Fuel_Code
ARA2201,Hydro
ARG1101,Hydro
ARI1101,Hydro
ARI1102,Hydro
ASB0661,Hydro
ATI2201,Hydro
AVI2201,Hydro
BEN2202,Hydro
BPE0331,Wind
BWK1101,Hydro
COL0661,Hydro
CYD0331,Hydro
CYD2201,Hydro
EDG0331,Solar
GOR0331,Wind
HRP2201,Wind
HWA1101,Hydro
HWB0331,Hydro
KOE1101,Solar
KPO1101,Hydro
LTN0331,Wind
LTN2201,Wind
MAN2201,Hydro
MAT1101,Hydro
MHO0331,Hydro
MTI2201,Hydro
NMA0331,Wind
NSY0331,Hydro
OHA2201,Hydro
OHB2201,Hydro
OHC2201,Hydro
OHK2201,Hydro
ROT1101,Hydro
ROX1101,Hydro
ROX2201,Hydro
RPO2201,Hydro
STK0661,Hydro
TGA0331,Hydro
TKA0111,Hydro
TKB2201,Hydro
TKU2201,Hydro
TUI1101,Hydro
TWC2201,Wind
TWH0331,Wind
WDV1101,Wind
WIL0331,Wind
WKM2201,Hydro
WPA2201,Hydro
WPG0331,Hydro
WTK0111,Hydro
WVY1101,Wind
WWD1102,Wind
WWD1103,Wind
