POC_Code,NZTM_easting,NZTM_northing
ARA2201,1873657.0,5721160.0
ARG1101,1616836.0,5386748.0
ARI1101,1831834.0,5782895.0
ARI1102,1831834.0,5782895.0
ARI1102,1831834.0,5782895.0
ASB0661,1503869.0,5133912.0
ATI2201,1863994.0,5746271.0
AVI2201,1390245.0,5051586.0
BEN2202,1377144.0,5061473.0
BPE0331,1824481.0,5537751.0
BRB0331,1733637.0,6031785.0
BRB0331,1733637.0,6031785.0
BWK1101,1375377.0,4908483.0
CML0331,1300162.0,5003362.0
COL0661,1480658.0,5197735.0
CYD0331,1309790.0,4990370.0
CYD0331,1309790.0,4990370.0
CYD2201,1309790.0,4990370.0
EDG0331,1936285.0,5788677.0
GLN0332,1753741.0,5880998.0
GLN0332,1753741.0,5880998.0
GOR0331,1284097.0,4885035.0
HLY0331,1790105.0,5842869.0
HLY2201,1790105.0,5842869.0
HWA1101,1712537.0,5619536.0
HWA1101,1712537.0,5619536.0
HWA1102,1712537.0,5619536.0
HWB0331,1404029.0,4918978.0
HWB0331,1404029.0,4918978.0
KAW0111,1926530.0,5779125.0
KAW0112,1926530.0,5779125.0
KAW1101,1926530.0,5779125.0
KIN0112,1852213.0,5760024.0
KOE1101,1673614.0,6082721.0
KPA1101,1698938.0,5634951.0
KPO1101,1823029.0,5799542.0
LTN0331,1823277.0,5523360.0
LTN2201,1823277.0,5523360.0
MAN2201,1153098.0,4943235.0
MAT1101,1934456.0,5774722.0
MAT1101,1934456.0,5774722.0
MHO0331,1807281.0,5505363.0
MKE1101,1715281.0,5672464.0
MTI2201,1839802.0,5751482.0
MTO0331,1722370.0,6005584.0
NAP2201,1876822.0,5721249.0
NAP2202,1876822.0,5721249.0
NMA0331,1242677.0,4861547.0
NSY0331,1371044.0,5009253.0
OHA2201,1362883.0,5094304.0
OHB2201,1369516.0,5090545.0
OHC2201,1375175.0,5086098.0
OHK2201,1869462.0,5744408.0
OKI2201,1887000.0,5730455.0
PPI2201,1864742.0,5719918.0
ROT1101,1882790.0,5772814.0
ROX1101,1312313.0,4957442.0
ROX2201,1312313.0,4957442.0
RPO2201,1845189.0,5662388.0
SFD2201,1713803.0,5645310.0
STK0661,1620344.0,5426252.0
TGA0331,1875930.0,5819779.0
THI2201,1864970.0,5721335.0
TKA0111,1396471.0,5123459.0
TKB2201,1376922.0,5110445.0
TKU2201,1839960.0,5681601.0
TUI1101,1960528.0,5696630.0
TUI1101,1960528.0,5696630.0
TWC2201,1835550.0,5529228.0
TWH0331,1789809.0,5821033.0
WAI0331,1968027.0,5783081.0
WDV1101,1842684.0,5533314.0
WHI2201,1934795.0,5633613.0
WIL0331,1747405.0,5431065.0
WKM2201,1844481.0,5743971.0
WKM2201,1844481.0,5743971.0
WPA2201,1834680.0,5758417.0
WPG0331,1404006.0,4918940.0
WRK0331,1870348.0,5720182.0
WRK2201,1870348.0,5720182.0
WTK0111,1396285.0,5048037.0
WTK0111,1396285.0,5048037.0
WVY1101,1740109.0,5598256.0
WWD1102,1739027.0,5427096.0
WWD1103,1739027.0,5427096.0
ARA2201,1873657.0,5721160.0
ARG1101,1616836.0,5386748.0
ARG1101,1616836.0,5386748.0
ARI1101,1831834.0,5782895.0
ARI1102,1831834.0,5782895.0
ARI1102,1831834.0,5782895.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ASB0661,1503869.0,5133912.0
ATI2201,1863994.0,5746271.0
AVI2201,1390245.0,5051586.0
BPE0331,1824481.0,5537751.0
BPE0331,1824481.0,5537751.0
BRB0331,1733637.0,6031785.0
BRB0331,1733637.0,6031785.0
BWK1101,1375377.0,4908483.0
BWK1101,1375377.0,4908483.0
CML0331,1300162.0,5003362.0
COL0661,1480658.0,5197735.0
COL0661,1480658.0,5197735.0
CYD0331,1309790.0,4990370.0
CYD0331,1309790.0,4990370.0
CYD2201,1309790.0,4990370.0
EDG0331,1936285.0,5788677.0
EDG0331,1936285.0,5788677.0
GLN0332,1753741.0,5880998.0
GLN0332,1753741.0,5880998.0
GLN0332,1753741.0,5880998.0
GOR0331,1284097.0,4885035.0
GOR0331,1284097.0,4885035.0
HLY0331,1790105.0,5842869.0
HLY2201,1790105.0,5842869.0
HWA1101,1712537.0,5619536.0
HWA1101,1712537.0,5619536.0
HWA1101,1712537.0,5619536.0
HWA1101,1712537.0,5619536.0
HWA1102,1712537.0,5619536.0
HWA1102,1712537.0,5619536.0
HWA1102,1712537.0,5619536.0
HWA1102,1712537.0,5619536.0
HWB0331,1404029.0,4918978.0
HWB0331,1404029.0,4918978.0
